country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
USA,God's Army,Drama,6.4,1021,"$300,000.00","$2,637,726.00",2000
Canada,Naked Lunch,Drama,7.1,46069,"$16,000,000.00","$2,641,357.00",1991
UK,Maurice,Drama,7.7,15717,"$1,577,000.00","$2,642,567.00",1987
USA,One Night Stand,Drama,5.8,6492,"$24,000,000.00","$2,642,983.00",1997
USA,Twelve,Action,5.7,11770,"$5,000,000.00","$2,648,195.00",2010
Denmark,Mennesker bliver spist,Comedy,6.6,454,"$17,500,000.00","$2,651,302.00",2015
France,Ne te retourne pas,Drama,5.8,6320,"$13,000,000.00","$2,651,917.00",2009
Finland,Leijonasydän,Drama,7,3580,"$1,500,000.00","$2,654,271.00",2013
Norway,Tunnelen,Drama,6.2,1310,"$3,500,000.00","$2,654,573.00",2019
Norway,Pionér,Adventure,6,4699,"$5,555,559.00","$2,656,152.00",2013
Russia,Voditel dlya Very,Drama,7.1,1759,"$3,300,000.00","$2,658,588.00",2004
Australia,The Cup,Biography,5.6,693,"$15,000,000.00","$2,660,645.00",2011
India,Tere Naam,Action,7.1,15973,"$80,000,000.00","$2,663,172.00",2003
Romania,Miami Bici,Comedy,6.4,4720,"$65,000.00","$2,663,916.00",2020
Canada,Crash,Drama,6.4,50760,"$9,000,000.00","$2,664,812.00",1996
Switzerland,Who Dares Wins,Action,6.3,2764,"$6,000,000.00","$2,666,873.00",1982
USA,Redbelt,Drama,6.7,20170,"$7,000,000.00","$2,674,090.00",2008
Spain,Mi gran noche,Comedy,6,3880,"$4,000,000.00","$2,678,216.00",2015
Italy,Iago,Comedy,4.5,239,"$4,300,000.00","$2,678,424.00",2009
Netherlands,"Ja zuster, nee zuster",Comedy,6.7,1428,"$2,717,930.00","$2,679,631.00",2002
France,Sheitan,Comedy,5.6,8365,"$2,700,000.00","$2,680,879.00",2006
Ireland,Dorothy Mills,Drama,6,5313,"$500,000.00","$2,682,733.00",2008
USA,The Bear,Biography,6.3,268,"$221,000.00","$2,687,148.00",1984
Denmark,Kapringen,Drama,7.2,15573,"$15,500,000.00","$2,688,444.00",2012
USA,Infamous,Biography,7,16112,"$13,000,000.00","$2,689,799.00",2006
Norway,I Am Dina,Drama,6.6,5260,"$141,000,000.00","$2,691,510.00",2002
USA,Blind Fury,Action,6.4,14515,"$10,000,000.00","$2,692,037.00",1989
Spain,Pájaros de papel,Comedy,7,698,"$3,500,000.00","$2,693,223.00",2010
USA,The Guest,Action,6.7,88843,"$5,000,000.00","$2,700,051.00",2014
Denmark,Superclásico,Comedy,6.4,2368,"$18,400,000.00","$2,701,266.00",2011
USA,Auto Focus,Biography,6.6,13071,"$7,000,000.00","$2,704,951.00",2002
Czech Republic,Horem pádem,Comedy,6.9,1854,"$36,000,000.00","$2,705,163.00",2004
France,"Salaud, on t'aime",Comedy,5.5,289,"$8,353,774.00","$2,705,189.00",2014
Mexico,Abel,Comedy,6.9,1376,"$1,000,000.00","$2,706,679.00",2010
USA,Bobby Jones: Stroke of Genius,Biography,6.7,3684,"$20,000,000.00","$2,707,913.00",2004
Norway,Factotum,Comedy,6.6,13730,"$1,000,000.00","$2,708,087.00",2005
Ukraine,"Ya, Ty, Vin, Vona",Comedy,5.2,312,"$1,200,000.00","$2,708,622.00",2018
France,Un divan à Tunis,Comedy,6.3,784,"$1,500,000.00","$2,711,150.00",2019
USA,What Maisie Knew,Drama,7.4,26484,"$6,000,000.00","$2,711,379.00",2012
USA,Straight Out of Brooklyn,Crime,5.8,559,"$450,000.00","$2,712,293.00",1991
USA,Billionaire Boys Club,Biography,5.6,10299,"$15,000,000.00","$2,713,955.00",2018
Italy,C'è chi dice no,Comedy,6.1,416,"$8,100,000.00","$2,715,050.00",2011
France,Un village presque parfait,Comedy,5.9,687,"$4,600,000.00","$2,715,460.00",2014
Netherlands,Dolfje Weerwolfje,Drama,6.2,464,"$3,500,000.00","$2,719,402.00",2011
France,O Jerusalem,Drama,6.1,834,"$24,000,000.00","$2,724,303.00",2006
UK,Cocktail,Comedy,6.3,13100,"$7,980,000.00","$2,724,695.00",2012
Japan,Sukiyaki Western Django,Action,6.2,14504,"$3,800,000.00","$2,725,258.00",2007
Norway,Operasjon Arktis,Adventure,6,816,"$26,000,000.00","$2,726,276.00",2014
China,Ji zhi zhui ji,Action,4.7,2426,"$30,000,000.00","$2,727,767.00",2017
Italy,Ovunque sei,Drama,4.7,298,"$5,000,000.00","$2,730,057.00",2004
India,Raja Rani,Comedy,7.6,4136,"$180,000,000.00","$2,731,185.00",2013
Netherlands,Kameleon 2,Adventure,5.9,637,"$2,000,000.00","$2,733,118.00",2005
South Korea,Teureok,Crime,6.2,306,"$2,000,000.00","$2,733,790.00",2008
France,When Pigs Have Wings,Comedy,7,2960,"$4,574,488.00","$2,733,806.00",2011
USA,Shadows and Fog,Comedy,6.7,15840,"$14,000,000.00","$2,735,731.00",1991
USA,Desperate Hours,Action,5.4,6798,"$18,000,000.00","$2,742,912.00",1990
Canada,Ararat,Drama,6.3,11239,"$15,500,000.00","$2,743,336.00",2002
Belgium,Ben X,Drama,7.4,18246,"$1,500,000.00","$2,744,414.00",2007
Italy,Tirante el Blanco,Adventure,3.9,849,"$14,000,000.00","$2,744,925.00",2006
UK,Richard III,Drama,7.4,13565,"$6,000,000.00","$2,748,518.00",1995
South Korea,Incheon sangryuk jakjeon,Action,6.2,4645,"$12,620,000.00","$2,749,918.00",2016
Canada,Ma vie en cinémascope,Biography,6.6,356,"$7,000,000.00","$2,750,263.00",2004
Netherlands,De brief voor de koning,Adventure,5.8,1296,"$6,750,000.00","$2,751,519.00",2008
UK,And When Did You Last See Your Father?,Biography,6.8,4050,"$8,000,000.00","$2,752,471.00",2007
France,Albert est méchant,Comedy,4.4,372,"$8,960,000.00","$2,753,995.00",2004
USA,The Manchurian Candidate,Drama,7.9,70205,"$2,200,000.00","$2,757,256.00",1962
UK,Dr. Jekyll and Ms. Hyde,Comedy,4.5,2617,"$8,000,000.00","$2,763,020.00",1995
Spain,La voz dormida,Drama,7.3,2186,"$3,500,000.00","$2,764,436.00",2011
Italy,The Lazarus Child,Drama,5,943,"$25,000,000.00","$2,764,845.00",2004
UK,My Summer of Love,Drama,6.7,19347,"$1,700,000.00","$2,766,976.00",2004
Japan,Yume,Drama,7.8,23357,"$12,000,000.00","$2,767,133.00",1990
Italy,Si può fare,Comedy,7.6,1561,"$5,280,000.00","$2,771,968.00",2008
Australia,Dirty Deeds,Comedy,6.2,3117,"$10,000,000.00","$2,772,366.00",2002
USA,Gleaming the Cube,Action,6.3,6977,"$10,000,000.00","$2,777,280.00",1989
South Korea,Cheon-nyeon-yeo-woo-yeo-woo-bi,Animation,6.8,839,"$2,700,000,000.00","$2,779,260.00",2007
Germany,Der Rote Baron,Action,6.4,11564,"$18,000,000.00","$2,783,332.00",2008
France,Frontière(s),Horror,6.2,24735,"$3,000,000.00","$2,783,535.00",2007
USA,Saving Christmas,Comedy,1.4,14814,"$500,000.00","$2,783,970.00",2014
Spain,La conjura de El Escorial,Adventure,5.2,360,"$15,000,000.00","$2,784,297.00",2008
France,Big City,Adventure,5.1,232,"$22,000,000.00","$2,786,776.00",2007
UK,Bugsy Malone,Comedy,6.9,15820,"$575,000.00","$2,787,725.00",1976
USA,Heat,Action,5.6,1778,"$17,000,000.00","$2,793,214.00",1986
Mexico,Cinco de Mayo: La batalla,Drama,6.2,820,"$10,000,000.00","$2,794,852.00",2013
France,Le vélo de Ghislain Lambert,Comedy,6.5,2086,"$77,000,000.00","$2,794,947.00",2001
Finland,Rööperi,Biography,6.7,3178,"$1,700,000.00","$2,795,194.00",2009
USA,Unrest,Horror,5,7597,"$2,500,000.00","$2,795,983.00",2006
USA,Captive,Action,5.4,6360,"$2,000,000.00","$2,801,508.00",2015
Netherlands,Shouf shouf habibi!,Comedy,6.1,2709,"$800,000.00","$2,801,588.00",2004
Canada,In the Company of Men,Comedy,7.2,12939,"$25,000.00","$2,804,473.00",1997
USA,Return to the Blue Lagoon,Adventure,5.2,17820,"$11,000,000.00","$2,807,854.00",1991
USA,Shut Up and Sing,Comedy,5.6,618,"$1,000,000.00","$2,811,468.00",2006
Netherlands,Alibi,Comedy,5.7,833,"$1,800,000.00","$2,812,227.00",2008
Italy,Martin Eden,Drama,6.7,2641,"$3,800,000.00","$2,812,888.00",2019
France,Raising Victor Vargas,Drama,7.2,5138,"$800,000.00","$2,816,116.00",2002
UK,The Hudsucker Proxy,Comedy,7.2,75860,"$40,000,000.00","$2,816,518.00",1994
Czech Republic,Medvídek,Comedy,6.1,510,"$25,000,000.00","$2,817,885.00",2007
India,De Taali,Comedy,4,783,"$80,000,000.00","$2,818,022.00",2008
USA,Newsies,Drama,7,18513,"$15,000,000.00","$2,819,485.00",1992
USA,Everything Must Go,Drama,6.4,47271,"$5,000,000.00","$2,820,490.00",2010
USA,Unforgettable,Drama,6,4878,"$18,000,000.00","$2,821,671.00",1996
Denmark,De fortabte sjæles ø,Action,5.6,1651,"$39,000,000.00","$2,823,656.00",2007
France,Los reyes magos,Animation,5.4,310,"$7,000,000.00","$2,823,810.00",2003
Germany,Oh Boy,Comedy,7.4,14777,"$300,000.00","$2,826,333.00",2012
Italy,Le meraviglie,Drama,6.5,4704,"$2,500,000.00","$2,827,212.00",2014
USA,Disney's Newsies: The Broadway Musical,Musical,8.5,1953,"$2,000,000.00","$2,827,489.00",2017
USA,The Perez Family,Comedy,6,2077,"$11,000,000.00","$2,832,826.00",1995
UK,Angel,Drama,5.8,5066,"$15,000,000.00","$2,835,903.00",2007
France,Personal Shopper,Drama,6.1,35505,"$6,000,000.00","$2,840,408.00",2016
USA,The Identical,Drama,5.2,2495,"$16,000,000.00","$2,840,991.00",2014
France,Dans la brume,Drama,5.9,5155,"$11,270,000.00","$2,842,040.00",2018
Belgium,Aanrijding in Moscou,Comedy,7.2,3860,"$725,000.00","$2,842,635.00",2008
USA,Othello,Drama,6.9,8906,"$11,000,000.00","$2,844,379.00",1995
South Korea,Nareul Itjimarayo,Drama,6.6,432, $-   ,"$2,845,124.00",2016
UK,All or Nothing,Drama,7.5,9815,"$9,000,000.00","$2,845,696.00",2002
UK,Wah-Wah,Comedy,6.8,2928,"$7,000,000.00","$2,846,148.00",2005
USA,Running on Empty,Crime,7.7,13666,"$7,000,000.00","$2,847,941.00",1988
Italy,La doppia ora,Crime,6.7,3653,"$4,300,000.00","$2,848,165.00",2009
Thailand,The Bodyguard 2,Action,5.4,945,"$100,000,000.00","$2,849,046.00",2007
USA,Airborne,Adventure,6.3,6236,"$2,600,000.00","$2,850,263.00",1993
UK,Sid and Nancy,Biography,7,29002,"$4,000,000.00","$2,850,707.00",1986
Finland,Äideistä parhain,Drama,7.6,4208,"$2,900,000.00","$2,851,888.00",2005
China,Jin ling shi san chai,Drama,7.6,48707,"$94,000,000.00","$2,855,644.00",2011
UK,eXistenZ,Horror,6.8,92245,"$15,000,000.00","$2,856,712.00",1999
USA,Home Run,Drama,5.9,2824,"$1,200,000.00","$2,861,020.00",2013
France,Belphégor - Le fantôme du Louvre,Mystery,4.5,4608,"$105,000,000.00","$2,863,896.00",2001
USA,Rappin',Drama,3.9,432,"$2,000,000.00","$2,864,844.00",1985
USA,Another You,Comedy,5.4,3534,"$17,000,000.00","$2,865,916.00",1991
Canada,Gas,Comedy,3.1,309,"$6,500,000.00","$2,869,425.00",1981
USA,Jinxed!,Comedy,4.7,934,"$13,400,000.00","$2,869,638.00",1982
Hong Kong,Jiu long bu bai,Action,5.3,542,"$12,000,000.00","$2,869,666.00",2019
Norway,Olsenbanden Junior går under vann,Comedy,4.8,552,"$2,000,000.00","$2,871,092.00",2003
Germany,Immenhof - Das Abenteuer eines Sommers,Adventure,5.6,104,"$4,500,000.00","$2,871,120.00",2019
USA,Tetro,Drama,6.8,12374,"$5,000,000.00","$2,874,474.00",2009
Mexico,Amar a morir,Drama,6.3,453,"$2,500,000.00","$2,874,821.00",2009
USA,No Man's Land,Crime,6.1,4140,"$8,000,000.00","$2,877,571.00",1987
UK,Moshi Monsters: The Movie,Animation,3.2,523,"$2,400,000.00","$2,883,694.00",2013
USA,Married Life,Crime,6.2,8987,"$12,000,000.00","$2,888,315.00",2007
France,La chambre des officiers,Drama,7.4,1546,"$48,000,000.00","$2,888,830.00",2001
Japan,Gamba: Ganba to nakamatachi,Animation,5.2,252,"$20,000,000.00","$2,889,160.00",2015
USA,Reservoir Dogs,Crime,8.3,896551,"$1,200,000.00","$2,889,963.00",1992
China,"Beijing, New York",Drama,4.7,100,"$6,000,000.00","$2,890,000.00",2015
UK,The East,Adventure,6.8,48093,"$6,500,000.00","$2,891,812.00",2013
USA,The Evil Dead,Horror,7.5,182354,"$350,000.00","$2,893,091.00",1981
Hong Kong,Jing mo gaa ting,Action,6.1,1811,"$35,000,000.00","$2,896,536.00",2005
Germany,Tschiller: Off Duty,Action,4.1,1576,"$8,000,000.00","$2,897,344.00",2016
USA,Margot at the Wedding,Comedy,6,19264,"$10,000,000.00","$2,900,156.00",2007
Greece,O Theos agapaei to haviari,Adventure,6,2529,"$8,000,000.00","$2,906,528.00",2012
UK,Brighton Rock,Crime,5.7,6080,"$12,000,000.00","$2,913,599.00",2010
UK,Sylvia,Biography,6.3,10217,"$7,000,000.00","$2,917,393.00",2003
France,La fille de Brest,Biography,6.6,1019,"$5,600,000.00","$2,918,159.00",2016
France,Floride,Comedy,6.5,594,"$8,000,000.00","$2,923,145.00",2015
USA,Waiting for Guffman,Comedy,7.5,26293,"$4,000,000.00","$2,923,982.00",1996
USA,Love Stinks,Comedy,5.8,4878,"$4,000,000.00","$2,924,635.00",1999
Canada,American Heist,Action,5,16151,"$10,000,000.00","$2,931,475.00",2014
USA,Filly Brown,Drama,5.7,1039,"$2,000,000.00","$2,940,411.00",2012
Denmark,Orla Frøsnapper,Animation,4.9,494,"$5,500,000.00","$2,941,889.00",2011
India,Dabangg,Action,6.2,27218,"$9,370,000.00","$2,942,554.00",2010
Russia,Orda,Biography,6.2,914,"$12,000,000.00","$2,943,372.00",2012
USA,Shattered Glass,Drama,7.1,32684,"$6,000,000.00","$2,944,752.00",2003
Czech Republic,Raftáci,Comedy,5.6,596,"$30,000,000.00","$2,947,079.00",2006
Austria,Lourdes,Drama,6.9,3133,"$2,000,000.00","$2,947,270.00",2009
Japan,The Last: Naruto the Movie,Animation,7.6,10614,"$120,000,000.00","$2,949,185.00",2014
Netherlands,Chez Nous,Action,6.5,753,"$2,700,000.00","$2,949,562.00",2013
Singapore,Long Long Time Ago,Comedy,6.7,148,"$2,500,000.00","$2,951,207.00",2016
Finland,Risto Räppääjä ja Sevillan saituri,Family,5.1,100,"$1,400,000.00","$2,953,142.00",2015
France,Ceux qui restent,Drama,6.9,477,"$3,900,000.00","$2,955,081.00",2007
Netherlands,Volle maan,Comedy,4.2,1485,"$2,500,000.00","$2,955,586.00",2002
USA,Metropolitan,Comedy,7.4,9291,"$230,000.00","$2,960,492.00",1990
Germany,Tom Sawyer,Adventure,6.2,742,"$8,500,000.00","$2,963,639.00",2011
Germany,Mr. Morgan's Last Love,Comedy,6.8,11925,"$8,200,000.00","$2,967,122.00",2013
Denmark,Ledsaget udgang,Comedy,5.6,562,"$12,000,000.00","$2,968,181.00",2007
France,Clean,Drama,6.8,4423,"$4,500.00","$2,971,219.00",2004
Germany,One Way,Thriller,6.1,3107,"$7,100,000.00","$2,972,357.00",2006
USA,Happiness,Comedy,7.7,65435,"$2,200,000.00","$2,982,011.00",1998
France,J'ai faim!!!,Comedy,4.6,296,"$47,000,000.00","$2,982,647.00",2001
USA,Fright Night Part 2,Comedy,5.9,11210,"$7,500,000.00","$2,983,784.00",1988
India,Kites,Action,6.1,12138,"$600,000,000.00","$2,986,748.00",2010
USA,Cradle Will Rock,Drama,6.8,8711,"$36,000,000.00","$2,986,932.00",1999
New Zealand,Sione's Wedding,Comedy,6.4,1483,"$2,000,000.00","$2,993,332.00",2006
Canada,Bullies,Action,5.3,430,"$1,800,000.00","$2,995,527.00",1986
Norway,Askeladden - I Soria Moria slott,Adventure,6.4,483,"$7,300,000.00","$2,995,733.00",2019
Norway,Julekongen,Adventure,5.6,164,"$25,100,000.00","$2,997,287.00",2015
India,Kambakkht Ishq,Action,3.9,6508,"$12,500,000.00","$2,998,940.00",2009
Canada,Running Brave,Biography,6.7,631,"$8,000,000.00","$3,000,000.00",1983
UK,Isn't She Great,Biography,5.4,2246,"$44,000,000.00","$3,003,296.00",2000
Brazil,Que Horas Ela Volta?,Comedy,7.8,12688,"$4,000,000.00","$3,003,560.00",2015
Turkey,Kolpaçino,Action,6.2,9168,"$2,000,000.00","$3,004,329.00",2009
Turkey,Hacivat Karagöz Neden Öldürüldü?,Comedy,7.5,10585,"$3,500,000.00","$3,004,541.00",2006
Russia,Zomboyashchik,Comedy,2.9,198,"$30,000,000.00","$3,004,952.00",2018
USA,Basquiat,Biography,6.9,19234,"$3,300,000.00","$3,011,195.00",1996
Canada,Midnight Sun,Adventure,6.1,763,"$18,000,000.00","$3,016,126.00",2014
Norway,Elias og kongeskipet,Animation,5.6,158,"$22,000,000.00","$3,018,188.00",2007
Hong Kong,Geung see,Action,6.3,5394,"$15,000,000.00","$3,018,374.00",2013
France,Nos femmes,Comedy,5.2,464,"$10,000,000.00","$3,019,913.00",2015
Spain,Anacleto: Agente secreto,Action,6.1,3757,"$1,800,000.00","$3,020,097.00",2015
Germany,Kartoffelsalat,Comedy,1.3,6512,"$1,000,000.00","$3,020,134.00",2015
USA,The Last Days of Disco,Comedy,6.7,11889,"$8,000,000.00","$3,020,601.00",1998
Germany,"Rico, Oskar und das Herzgebreche",Adventure,6.4,170,"$4,600,000.00","$3,022,227.00",2015
Mexico,Asesino en serio,Comedy,5.6,466,"$2,500,000.00","$3,025,269.00",2002
France,Le dernier vol,Adventure,5.5,1065,"$24,000,000.00","$3,030,612.00",2009
France,Harrison's Flowers,Drama,7.1,6008,"$8,000,000.00","$3,033,646.00",2000
Italy,L'uomo che verrà,Drama,7.5,1531,"$3,000,000.00","$3,034,481.00",2009
Germany,Solino,Drama,7.4,5145,"$10,000,000.00","$3,034,779.00",2002
Singapore,We Not Naughty,Comedy,5.5,102,"$1,300,000.00","$3,035,038.00",2012
France,La fille du RER,Drama,6,1454,"$9,000,000.00","$3,035,402.00",2009
USA,China Moon,Crime,6.3,5844,"$15,000,000.00","$3,038,499.00",1994
Finland,Risto Räppääjä ja liukas Lennart,Comedy,5.1,140,"$1,300,000.00","$3,039,052.00",2014
UK,The Mother,Drama,6.7,3945,"$2,500,000.00","$3,039,587.00",2003
UK,Thunderpants,Comedy,3.7,5266,"$7,000,000.00","$3,042,497.00",2002
Czech Republic,Pupendo,Comedy,7.2,1348,"$30,000,000.00","$3,043,257.00",2003
New Zealand,Heavenly Creatures,Biography,7.3,58119,"$5,000,000.00","$3,049,135.00",1994
USA,CrissCross,Crime,5.9,1676,"$14,000,000.00","$3,052,738.00",1992
South Korea,Cheong yeon,Romance,6.9,229,"$8,000,000,000.00","$3,054,367.00",2005
Spain,El hombre de las mil caras,Biography,6.9,6659,"$5,000,000.00","$3,054,505.00",2016
Egypt,El-sefara fi El-Omara,Comedy,6.3,2165,"$3,000,000.00","$3,060,068.00",2005
USA,Malone,Action,5.8,2572,"$10,000,000.00","$3,060,858.00",1987
USA,Jane Got a Gun,Action,5.9,20477,"$25,000,000.00","$3,067,531.00",2015
USA,The Public Eye,Crime,6.5,3249,"$15,000,000.00","$3,067,917.00",1992
Germany,"Feuer, Eis & Dosenbier",Comedy,3.3,1065,"$5,800,000.00","$3,070,158.00",2002
Finland,Prinsessa,Biography,6.2,1060,"$1,448,260.00","$3,071,782.00",2010
India,Kick 2,Action,5.1,759,"$4,600,000.00","$3,073,989.00",2015
Canada,Speed Zone,Comedy,4.6,3046,"$18,000,000.00","$3,077,361.00",1989
India,Dhobi Ghat,Drama,7,12249,"$102,000,000.00","$3,082,958.00",2010
Norway,Lange flate ballær,Comedy,5.6,1617,"$12,200,000.00","$3,084,794.00",2006
Russia,Yulenka,Drama,5.1,864,"$5,000,000.00","$3,084,844.00",2009
France,Amour sur place ou à emporter,Comedy,4.6,309,"$4,000,000.00","$3,085,722.00",2014
Brazil,Aquarius,Drama,7.5,17657,"$2,500,000.00","$3,085,977.00",2016
United Arab Emirates,Bilal: A New Breed of Hero,Animation,7.9,17043,"$30,000,000.00","$3,087,832.00",2015
Kazakhstan,Köshpendiler,Drama,5.9,3674,"$25,000,000.00","$3,088,685.00",2005
France,Toutes nos envies,Drama,6.8,857,"$8,500,000.00","$3,093,416.00",2011
Russia,Montana,Drama,4.9,183,"$3,000,000.00","$3,093,617.00",2008
India,Delhi Safari,Animation,5.7,1568,"$15,000,000.00","$3,096,376.00",2012
France,Grave,Drama,7,57938,"$3,500,000.00","$3,096,815.00",2016
France,La proie,Action,6.7,4921,"$9,700,000.00","$3,102,666.00",2011
UK,Death and the Maiden,Drama,7.3,22077,"$12,000,000.00","$3,103,716.00",1994
USA,Illegal Tender,Crime,5.5,2488,"$8,000,000.00","$3,106,835.00",2007
UK,White Mischief,Crime,6.3,2530,"$5,300,000.00","$3,107,551.00",1987
USA,Night of the Demons,Comedy,6.2,13179,"$1,200,000.00","$3,109,904.00",1988
USA,Coogan's Bluff,Action,6.5,15324,"$1,500,000.00","$3,110,000.00",1968
Denmark,Direktøren for det hele,Comedy,6.7,10864,"$3,000,000.00","$3,111,395.00",2006
Singapore,Xiaohai bu ben 2,Comedy,6.8,558,"$1,500,000.00","$3,111,801.00",2006
France,La boîte noire,Mystery,5.9,1671,"$8,400,000.00","$3,116,667.00",2005
USA,Jawbreaker,Comedy,5.7,23752,"$3,500,000.00","$3,117,085.00",1999
Italy,La terza madre,Drama,5.1,9232,"$3,500,000.00","$3,119,957.00",2007
Russia,Bez granits,Comedy,6.2,584,"$2,000,000.00","$3,124,744.00",2015
USA,Mr. Wonderful,Comedy,5.9,3052,"$13,000,000.00","$3,125,424.00",1993
Denmark,The House That Jack Built,Crime,6.8,54636,"$8,700,000.00","$3,126,916.00",2018
Finland,Röllin sydän,Animation,5.6,268,"$5,200,000.00","$3,133,499.00",2007
USA,The Favor,Comedy,5.2,2555,"$13,000,000.00","$3,134,381.00",1994
France,Amoureux de ma femme,Comedy,5.4,1217,"$6,300,000.00","$3,136,670.00",2018
Finland,Risto Räppääjä ja viileä Venla,Comedy,4.9,203,"$1,586,000.00","$3,137,319.00",2012
France,Associés contre le crime: L'oeuf d'Ambroise,Comedy,4.3,441,"$9,450,000.00","$3,146,210.00",2012
Hong Kong,Gin gwai 2,Horror,5.7,4590,"$2,300,000.00","$3,149,899.00",2004
USA,Steal Big Steal Little,Comedy,4.8,899,"$35,000,000.00","$3,150,170.00",1995
USA,Clerks,Comedy,7.7,209206,"$27,000.00","$3,151,130.00",1994
Finland,Tie pohjoiseen,Comedy,6.4,1919,"$848,000.00","$3,153,132.00",2012
South Africa,Mad Buddies,Comedy,4,346,"$20,000,000.00","$3,156,343.00",2012
Spain,Map of the Sounds of Tokyo,Drama,6,2185,"$8,000,000.00","$3,159,683.00",2009
South Korea,Ka-woon-teu-da-woon,Action,6.5,347,"$6,000,000.00","$3,168,201.00",2011
Denmark,Under sandet,Drama,7.8,33871,"$35,500,000.00","$3,169,553.00",2015
USA,Rude Awakening,Comedy,4.7,1202,"$10,000,000.00","$3,169,719.00",1989
USA,Beautiful,Comedy,5.6,3631,"$14,000,000.00","$3,169,930.00",2000
USA,Songcatcher,Drama,7.2,3210,"$1,800,000.00","$3,171,273.00",2000
USA,Rosewater,Biography,6.6,10202,"$5,000,000.00","$3,171,593.00",2014
UK,The Wackness,Comedy,7,29694,"$6,000,000.00","$3,175,469.00",2008
Germany,"Was nicht passt, wird passend gemacht",Comedy,6.6,3428,"$6,000,000.00","$3,176,288.00",2002
UK,Mee-Shee: The Water Giant,Adventure,5.3,686,"$27,000,000.00","$3,177,628.00",2005
USA,Silent Fall,Drama,6,3546,"$30,000,000.00","$3,180,674.00",1994
Ireland,Hunger,Biography,7.6,64442,"$1,500,000.00","$3,185,113.00",2008
Finland,Risto Räppääjä ja polkupyörävaras,Comedy,5.1,256,"$1,700,000.00","$3,185,880.00",2010
Spain,La llamada,Musical,6.3,3468,"$2,710,388.00","$3,185,945.00",2017
USA,Thoroughbreds,Comedy,6.7,32554,"$6,000,000.00","$3,187,255.00",2017
Czech Republic,Tri bratri,Comedy,5.7,335,"$40,000,000.00","$3,187,345.00",2014
Chile,Machuca,Biography,7.7,10790,"$1,500,000.00","$3,187,700.00",2004
Russia,Voin,Sport,2,437,"$1,500,000.00","$3,187,750.00",2015
Argentina,Al final del túnel,Crime,7.1,11614,"$2,000,000.00","$3,190,219.00",2016
Belgium,Het paard van Sinterklaas,Drama,7,981,"$1,700,000.00","$3,193,767.00",2005
Germany,Marnies Welt,Animation,5.6,688,"$8,290,000.00","$3,194,533.00",2018
India,I,Action,7.3,18540,"$30,000,000.00","$3,200,113.00",2015
USA,Tadpole,Comedy,6.1,5679,"$150,000.00","$3,200,241.00",2002
South Korea,Seuseung-ui eunhye,Horror,6,2151,"$2,500,000.00","$3,202,419.00",2006
France,L'embarras du choix,Comedy,5.5,827,"$7,800,000.00","$3,202,694.00",2017
USA,6 Souls,Horror,6.1,31937,"$22,000,000.00","$3,205,167.00",2010
France,La vie d'une autre,Comedy,6.3,2261,"$6,500,000.00","$3,216,359.00",2012
Colombia,El abrazo de la serpiente,Adventure,7.9,20136,"$1,400,000.00","$3,217,176.00",2015
France,Essaye-moi,Comedy,6,587,"$8,000,000.00","$3,219,769.00",2006
Turkey,Çanakkale Yolun Sonu,Action,7.2,4562,"$6,000,000.00","$3,221,143.00",2013
USA,Pi,Drama,7.4,167656,"$60,000.00","$3,221,152.00",1998
USA,Barfly,Comedy,7.2,18337,"$3,000,000.00","$3,221,568.00",1987
Norway,Olsenbanden Junior på rocker'n,Comedy,4.8,527,"$2,500,000.00","$3,226,688.00",2004
Germany,Das Ende ist mein Anfang,Biography,6.4,575,"$3,000,000.00","$3,230,509.00",2010
Mexico,Solteras,Comedy,5.9,1888,"$1,450,000.00","$3,231,457.00",2019
USA,Pathology,Crime,6,30956,"$8,000,000.00","$3,234,706.00",2008
Spain,La posesión de Emma Evans,Horror,5,3491,"$1,800,000.00","$3,239,065.00",2010
Mexico,El Estudiante,Drama,7.1,1087,"$20,000,000.00","$3,241,731.00",2009
USA,Your Sister's Sister,Comedy,6.7,25829,"$125,000.00","$3,242,802.00",2011
USA,Resurrecting the Champ,Drama,6.7,20004,"$13,000,000.00","$3,243,611.00",2007
Mexico,El gran milagro,Animation,4.4,308,"$3,019,382.00","$3,247,466.00",2011
Turkey,Okul,Comedy,4,3261,"$1,000,000.00","$3,255,287.00",2004
USA,Clifford's Really Big Movie,Animation,5.4,756,"$70,000.00","$3,255,426.00",2004
USA,Pinocchio and the Emperor of the Night,Animation,6.8,534,"$8,000,000.00","$3,261,638.00",1987
Canada,The Sweet Hereafter,Drama,7.5,31548,"$5,000,000.00","$3,263,585.00",1997
Norway,Amundsen,Biography,6.2,2349,"$75,000,000.00","$3,264,853.00",2019
France,Poulet aux prunes,Comedy,7,8867,"$12,000,000.00","$3,265,941.00",2011
USA,Letters to God,Drama,6.3,4643,"$3,000,000.00","$3,269,546.00",2010
Italy,Il ritorno del Monnezza,Comedy,3.7,319,"$2,000,000.00","$3,273,446.00",2005
UK,Romeo Is Bleeding,Crime,6.6,12923,"$11,500,000.00","$3,275,585.00",1993
Russia,Bumer,Crime,7.1,6077,"$700,000.00","$3,278,000.00",2003
USA,Pieces of April,Comedy,7,19895,"$300,000.00","$3,282,321.00",2003
