country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
Portugal,Comboio de Sal e Açucar,Adventure,6.2,104,"$1,500,000.00","$2,293.00",2016
UK,Casino Royale,Comedy,5.2,26559,"$12,000,000.00","$2,324.00",1967
USA,The Killing Jar,Crime,5.8,2500,"$400,000.00","$2,339.00",2010
UK,Break My Fall,Drama,3.7,144,"$50,000.00","$2,372.00",2011
USA,The Devil Is a Woman,Comedy,7,2942,"$800,000.00","$2,375.00",1935
UK,The Incident,Drama,4.5,182,"$750,000.00","$2,401.00",2015
USA,L.A. Slasher,Comedy,3.3,742,"$10,000.00","$2,421.00",2015
USA,The Ghastly Love of Johnny X,Comedy,5.6,406,"$2,000,000.00","$2,436.00",2012
USA,Motocross Kids,Action,3.9,410,"$3,000,000.00","$2,462.00",2004
USA,Roberta,Comedy,7.1,2860,"$610,000.00","$2,493.00",1935
USA,Swing,Comedy,5.4,164,"$2,500,000.00","$2,509.00",2003
USA,New York City Serenade,Comedy,5,471,"$1,800,000.00","$2,509.00",2007
UK,Twenty8k,Thriller,4.8,567,"$2,000,000.00","$2,517.00",2012
USA,Miles,Comedy,5.7,587,"$2,000,000.00","$2,537.00",2016
Australia,Burke & Wills,Adventure,6.1,225,"$8,900,000.00","$2,546.00",1985
USA,Lazarat,Action,5,576,"$2,000,000.00","$2,548.00",2019
Spain,Finisterrae,Fantasy,6.4,619,"$300,000.00","$2,550.00",2010
India,Jihne Mera Dil Luteya,Comedy,7.3,942,"$30,000,000.00","$2,551.00",2011
Canada,Ginger Snaps,Drama,6.8,40897,"$5,000,000.00","$2,554.00",2000
India,Munthiri Monchan,Comedy,8.1,990,"$30,000,000.00","$2,568.00",2019
Romania,Moon Hotel Kabul,Drama,6.5,106,"$800,000.00","$2,577.00",2018
USA,The Incredible Shrinking Man,Horror,7.6,15583,"$750,000.00","$2,580.00",1957
Mexico,Acorazado,Comedy,6.7,143,"$1,200,000.00","$2,596.00",2010
UK,Conspiracy of Silence,Crime,6.4,368,"$3,000,000.00","$2,598.00",2003
India,Jayantabhai Ki Luv Story,Action,5.3,1207,"$100,000,000.00","$2,628.00",2013
USA,Duck,Drama,6,287,"$300,000.00","$2,657.00",2005
UK,Gangsters Gamblers Geezers,Comedy,5,750,"$1,800,000.00","$2,662.00",2016
USA,Catfight,Comedy,5.8,5188,"$350,000.00","$2,666.00",2016
UK,Division 19,Action,4.5,829,"$2,000,000.00","$2,680.00",2017
USA,The Boys in the Band,Drama,7.6,4030,"$5,500,000.00","$2,695.00",1970
UK,Mum & Dad,Horror,5.9,5707,"$100,000.00","$2,698.00",2008
UK,Burning Men,Drama,4.2,118,"$1,000,000.00","$2,702.00",2019
Hungary,Eichmann,Biography,5.9,2987,"$8,000,000.00","$2,706.00",2007
USA,Johnny Got His Gun,Drama,7.9,15306,"$1,000,000.00","$2,735.00",1971
India,Abrahaminte Santhathikal,Action,7.5,4545,"$60,000,000.00","$2,735.00",2018
USA,Approaching Midnight,Crime,4.2,244,"$100,000.00","$2,795.00",2013
Bulgaria,Children of Wax,Action,3.8,351,"$3,000,000.00","$2,797.00",2007
USA,Lower Learning,Comedy,4,2427,"$2,000,000.00","$2,804.00",2008
Belgium,Seule à mon mariage,Drama,6.4,149,"$1,000,000.00","$2,829.00",2018
Romania,Europolis,Drama,6.1,115,"$1,000,000.00","$2,839.00",2010
USA,Three Days of Rain,Drama,5.5,245,"$3,500,000.00","$2,841.00",2002
Romania,Heads and Tails,Drama,3.7,100,"$150,000.00","$2,853.00",2019
France,La famille Wolberg,Drama,5.8,225,"$2,600,000.00","$2,867.00",2009
Romania,Beyond America,Drama,3.8,114,"$1,000,000.00","$2,889.00",2008
Turkey,içerdekiler,Drama,6,112,"$150,000.00","$2,910.00",2018
Israel,Once I Was,Drama,7.2,735,"$2,150,000.00","$2,920.00",2010
UK,The Comedian,Drama,5.5,329,"$635,000.00","$2,921.00",2012
Bangladesh,Nabab,Comedy,7.5,784,"$30,000,000.00","$2,945.00",2017
USA,Mercy,Crime,5.4,252,"$52,000.00","$2,967.00",1995
USA,Dog Lover's Symphony,Comedy,2.6,115,"$500,000.00","$2,968.00",2006
USA,Philadelphia Experiment II,Action,4.5,1775,"$5,000,000.00","$2,970.00",1993
Germany,Fremde Haut,Drama,7,998,"$2,000,000.00","$3,025.00",2005
USA,Spiral,Drama,6.4,3543,"$600,000.00","$3,072.00",2007
USA,Sex and the Future,Comedy,1.9,248,"$1,000,000.00","$3,101.00",2020
USA,Nowhere Man,Comedy,3.7,204,"$250,000.00","$3,105.00",2005
USA,BrainWaves,Sci-Fi,4.7,397,"$500,000.00","$3,111.00",1982
India,Hawaa,Crime,7,273,"$250,000.00","$3,118.00",2019
USA,Brando Unauthorized,Drama,3.5,121,"$1,500,000.00","$3,123.00",2010
USA,The Girl on the Train,Action,4.3,893,"$28,000,000.00","$3,124.00",2014
USA,American Zombie,Comedy,5,1113,"$1,000,000.00","$3,126.00",2007
UK,Moulin Rouge,Biography,7.1,4833,"$1,500,000.00","$3,188.00",1952
France,Le roi danse,Drama,6.9,2112,"$21,000,000.00","$3,203.00",2000
USA,The Work and the Story,Comedy,5.7,100,"$103,000.00","$3,233.00",2003
Hungary,Viharsarok,Drama,6.9,3393,"$120,000,000.00","$3,241.00",2014
USA,Devil Girl,Thriller,3.7,166,"$1,000,000.00","$3,244.00",2007
USA,Windsor Drive,Mystery,3,189,"$100,000.00","$3,256.00",2015
USA,Justice,Drama,4,896,"$5,000,000.00","$3,259.00",2017
Belgium,Calvaire,Horror,6.2,11427,"$1,790,000.00","$3,260.00",2004
USA,I Love Your Work,Drama,5.3,1777,"$1,650,000.00","$3,264.00",2003
USA,Burning Palms,Comedy,5.3,2641,"$5,000,000.00","$3,271.00",2010
USA,The Scarlet Empress,Drama,7.6,5688,"$900,000.00","$3,299.00",1934
Switzerland,Jeune homme,Comedy,6.4,268,"$2,700,000.00","$3,313.00",2006
USA,Prince Valiant,Action,6.2,2363,"$2,970,000.00","$3,373.00",1954
India,Amazon Obhijaan,Action,4.7,1076,"$200,000,000.00","$3,403.00",2017
Panama,Más que hermanos,Drama,7.9,1213,"$1,600,000.00","$3,410.00",2017
India,Peranbu,Drama,9,11752,"$70,000,000.00","$3,417.00",2018
USA,The Mark of Zorro,Action,7.5,9067,"$1,000,000.00","$3,424.00",1940
USA,Mahogany Sunrise,Crime,7.8,508,"$150,000.00","$3,432.00",2014
Argentina,Glue,Drama,6.4,1454,"$35,000.00","$3,439.00",2006
USA,Jesse James,Biography,7,3887,"$1,600,000.00","$3,444.00",1939
USA,Short Eyes,Drama,7,1074,"$300,000.00","$3,456.00",1977
Georgia,Quchis dgeebi,Drama,7.7,1097,"$700,000.00","$3,463.00",2010
USA,Blood and Bone,Action,6.7,30815,"$3,700,000.00","$3,492.00",2009
USA,Locker 13,Thriller,4.8,290,"$300,000.00","$3,496.00",2014
USA,The Last Film Festival,Comedy,4,272,"$650,000.00","$3,558.00",2016
Sweden,Pojkarna,Crime,6.1,1039,"$2,000,000.00","$3,561.00",2015
UK,Cuckoo,Drama,3.7,116,"$2,500,000.00","$3,587.00",2009
USA,It Stains the Sands Red,Drama,5.5,4276,"$300,000.00","$3,599.00",2016
USA,Catch Me If You Can,Action,6.1,543,"$800,000.00","$3,686.00",1989
Argentina,UPA! Una película argentina,Comedy,6.2,126,"$30,000.00","$3,695.00",2007
Argentina,Claudia,Comedy,5.1,104,"$15,000,000.00","$3,697.00",2019
USA,The Helix... Loaded,Action,2.1,565,"$1,000,000.00","$3,700.00",2005
USA,Dumbo,Animation,7.2,116855,"$950,000.00","$3,731.00",1941
Italy,7 ore per farti innamorare,Comedy,5.9,617,"$1,200,000.00","$3,757.00",2020
France,Don't Grow Up,Drama,4.6,1011,"$2,500,000.00","$3,764.00",2015
USA,Nothing Sacred,Comedy,6.9,5841,"$1,831,927.00","$3,765.00",1937
Turkey,Kar korsanlari,Drama,6.8,212,"$200,000.00","$3,767.00",2015
USA,Unfreedom,Crime,5.1,1839,"$1,500,000.00","$3,778.00",2014
USA,Childhood's End,Comedy,5.2,189,"$600,000.00","$3,804.00",1996
Canada,The Second Time Around,Romance,6.6,146,"$3,000,000.00","$3,837.00",2016
UK,Puffball,Drama,4.2,972,"$2,600,000.00","$3,844.00",2007
USA,Hollidaysburg,Comedy,5.8,939,"$800,000.00","$3,861.00",2014
USA,Boy on a Dolphin,Adventure,6.3,1328,"$2,800,000.00","$3,867.00",1957
USA,Crown Vic,Action,6.4,3025,"$3,600,000.00","$3,868.00",2019
Taiwan,Ji pai ying xiong,Comedy,5.6,325,"$2,000,000.00","$3,889.00",2011
Turkey,Bir Gece,Drama,4.3,107,"$400,000.00","$3,891.00",2015
USA,American Dresser,Adventure,5.2,304,"$18,000,000.00","$3,895.00",2018
Sweden,Sista kontraktet,Crime,6.2,1214,"$24,000,000.00","$3,899.00",1998
USA,Going Under,Drama,4.8,254,"$50,000.00","$3,917.00",2004
Australia,Savages Crossing,Thriller,3.6,227,"$3,000,000.00","$3,928.00",2011
USA,The Night of the Iguana,Drama,7.6,10499,"$3,000,000.00","$3,942.00",1964
Taiwan,Ru meng,Drama,5.6,115,"$3,000,000.00","$3,953.00",2009
West Germany,Der amerikanische Freund,Crime,7.4,13462,"$3,000,000.00","$3,978.00",1977
USA,Supercon,Action,3.6,732,"$5,500,000.00","$3,982.00",2018
USA,Pickin' & Grinnin',Comedy,6.4,120,"$1,500,000.00","$4,000.00",2010
USA,The Badlanders,Romance,6.4,1170,"$1,436,000.00","$4,006.00",1958
Australia,The Nothing Men,Drama,6.2,143,"$1,200,000.00","$4,036.00",2010
USA,Freaks,Drama,7.9,41173,"$310,607.00","$4,072.00",1932
UK,Tu£sday,Action,5.1,570,"$180,000.00","$4,072.00",2008
Canada,Three Night Stand,Comedy,5.1,1487,"$1,200,000.00","$4,076.00",2013
Lithuania,Anarchija Zirmunuose,Drama,5.9,330,"$100,000.00","$4,085.00",2010
UK,Frenzy,Thriller,7.4,40353,"$2,000,000.00","$4,121.00",1972
India,Aanandam,Adventure,7.1,1505,"$43,000,000.00","$4,131.00",2016
USA,The Miracle Worker,Biography,8.1,15609,"$500,000.00","$4,139.00",1962
USA,The Hillside Strangler,Crime,5.3,1741,"$1,400,000.00","$4,143.00",2004
USA,3 Geezers!,Comedy,3.3,681,"$1,000,000.00","$4,175.00",2013
Turkey,Plane Tree,Drama,6.8,168,"$200,000.00","$4,183.00",2018
Slovenia,Druzinica,Drama,6.3,120,"$863,300.00","$4,195.00",2017
Israel,Sipur Hatzi-Russi,Drama,7,258,"$500,000.00","$4,197.00",2006
USA,Free the Nipple,Comedy,3.9,1627,"$937,000.00","$4,198.00",2014
Argentina,Cocote,Drama,6.6,256,"$25,185,569.00","$4,224.00",2017
Portugal,Gelo,Drama,5.7,122,"$747,500.00","$4,234.00",2016
USA,The Last Hunt,Drama,6.9,1367,"$2,121,000.00","$4,236.00",1956
Norway,Markens grøde,Drama,6.6,195,"$250,000.00","$4,272.00",1921
UK,Set Fire to the Stars,Biography,5.7,1316,"$700,000.00","$4,280.00",2014
Romania,Perfect sãnãtos,Drama,4.8,126,"$700,000.00","$4,297.00",2017
Bolivia,Maleficarum,Drama,4.6,142,"$105,000.00","$4,303.00",2011
Romania,Alice T.,Drama,6.3,306,"$1,300,000.00","$4,312.00",2018
Argentina,Como una novia sin sexo,Comedy,5.9,354,"$400,000.00","$4,314.00",2016
Lithuania,Kolekcioniere,Drama,7.1,525,"$15,000.00","$4,328.00",2008
Philippines,Ang babaeng humayo,Drama,7.3,1202,"$76,000.00","$4,373.00",2016
Italy,Aprimi il cuore,Drama,5.2,256,"$5,000.00","$4,381.00",2002
USA,30-Love,Comedy,6.2,108,"$30,000.00","$4,392.00",2017
USA,The Truth About Emanuel,Drama,6,8605,"$1,300,000.00","$4,404.00",2013
Turkey,Gözümün nûru,Comedy,6.2,370,"$315,000.00","$4,410.00",2013
USA,Coffee Date,Comedy,6.2,1404,"$200,000.00","$4,412.00",2006
USA,The Ministers,Crime,4.5,1283,"$7,000,000.00","$4,447.00",2009
UK,Yr Ymadawiad,Drama,5.9,300,"$540,000.00","$4,449.00",2015
India,Agent Sai Srinivasa Athreya,Action,8.5,5585,"$20,000.00","$4,454.00",2019
USA,Looking for Kitty,Comedy,6,872,"$250,000.00","$4,480.00",2004
UK,Mad Sad & Bad,Comedy,4.5,111,"$200,000.00","$4,507.00",2009
Germany,Das Haus der schlafenden Schönen,Drama,5.1,284,"$1,450,000.00","$4,509.00",2006
USA,Deliverance,Adventure,7.7,96769,"$2,000,000.00","$4,534.00",1972
