country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
Brazil,Casa de Areia,2005,Drama,7.3,3059,1178175.0
Germany,Beste Gegend,2008,Drama,6.6,255,1178535.0
USA,The Innkeepers,2011,Drama,5.4,32546,1178831.0
USA,Nightwatch,1997,Drama,6.2,18606,1179002.0
Italy,Il campione,2019,Drama,6.1,1173,1179440.0
France,Bambou,2009,Comedy,5.1,158,1179662.0
Japan,The Next Generation Patoreibâ: Shuto kessen,2015,Action,4.0,125,1179682.0
Czech Republic,Kamenák 4,2013,Comedy,2.7,151,1180139.0
UK,National Theatre Live: Small Island,2019,Drama,8.6,219,1180303.0
Spain,Quién mató a Bambi?,2013,Comedy,5.6,1151,1181040.0
USA,Of Love and Shadows,1994,Drama,5.1,1891,1181182.0
UK,When the Lights Went Out,2012,Horror,5.4,4454,1181929.0
USA,Chuck & Buck,2000,Comedy,6.5,5220,1182065.0
France,"Tu vas rire, mais je te quitte",2005,Comedy,4.9,169,1182141.0
USA,Year of the Gun,1991,Action,5.6,2352,1182273.0
Cuba,Meñique y el espejo mágico,2014,Animation,4.7,100,1183105.0
Brazil,Billi Pig,2012,Comedy,3.7,275,1183281.0
France,Eva,2018,Drama,4.7,878,1184348.0
Poland,Kac Wawa,2012,Comedy,1.4,949,1184471.0
Spain,El Gran Vázquez,2010,Biography,6.2,923,1184521.0
Italy,Sconnessi,2018,Comedy,5.3,384,1185054.0
New Zealand,Mt. Zion,2013,Drama,6.0,236,1185102.0
Mexico,Marcianos Contra Mexicanos,2018,Animation,3.5,123,1185285.0
Turkey,Deli Ask,2017,Comedy,5.5,2375,1185579.0
Turkey,Türkler Geliyor: Adaletin Kilici,2019,Action,4.1,566,1185821.0
France,Mon ange,2004,Drama,6.4,547,1185854.0
Mexico,El violín,2005,Drama,7.7,2335,1186247.0
Germany,Liebesleben,2007,Drama,6.0,416,1186250.0
Thailand,Opapatika,2007,Action,4.3,490,1186582.0
Turkey,Kod Adi K.O.Z.,2015,Crime,1.3,27100,1186730.0
Italy,Il premio,2017,Drama,5.7,383,1186734.0
Norway,Død snø 2,2014,Action,6.9,22277,1187477.0
Turkey,Beyza'nin Kadinlari,2006,Crime,6.2,2496,1187547.0
France,Rue des plaisirs,2002,Drama,5.3,689,1188065.0
USA,Kill the Irishman,2011,Biography,7.1,44822,1188194.0
Japan,Mahoro ekimae Tada benriken,2011,Drama,6.8,303,1188356.0
India,Shubh Mangal Saavdhan,2017,Comedy,6.9,8417,1188541.0
Japan,Yougashiten koandoru,2011,Drama,6.3,267,1188611.0
Spain,Más de mil cámaras velan por tu seguridad,2003,Sci-Fi,3.3,297,1188894.0
France,Chrysalis,2007,Crime,5.4,2744,1189133.0
UK,Somers Town,2008,Comedy,6.9,6058,1189186.0
UK,The Lair of the White Worm,1988,Comedy,5.9,9808,1189315.0
France,Attila Marcel,2013,Comedy,7.0,2789,1189463.0
USA,Return to Horror High,1987,Comedy,4.3,2837,1189709.0
Italy,Barbarossa,2009,Drama,4.4,1230,1189887.0
USA,Indigo,2003,Drama,4.9,335,1190000.0
Denmark,Bænken,2000,Drama,7.5,3888,1190251.0
USA,Dancers,1987,Comedy,4.7,261,1190416.0
Germany,Fast Track: No Limits,2008,Action,5.0,2264,1190456.0
Sweden,Kenny Begins,2009,Action,5.8,1676,1190768.0
France,Black Snake: La légende du serpent noir,2019,Comedy,4.6,247,1190994.0
Denmark,Steppeulven,2014,Drama,6.6,902,1191437.0
UK,Weekend,2011,Drama,7.6,27499,1192003.0
Egypt,Sahar el layaly,2003,Drama,7.0,1735,1192090.0
Germany,Jugend ohne Gott,2017,Crime,5.7,1258,1192197.0
UK,High Hopes,1988,Comedy,7.4,4324,1192322.0
Germany,Was nützt die Liebe in Gedanken,2004,Drama,7.1,3852,1192335.0
Italy,Tutto l'amore del mondo,2010,Comedy,5.7,279,1192420.0
France,Les hommes libres,2011,Drama,6.6,1263,1192651.0
USA,Wendy and Lucy,2008,Drama,7.1,16061,1192995.0
USA,Cool as Ice,1991,Comedy,2.9,8803,1193062.0
