country,original_title,year,genre,avg_vote,worlwide_gross_income
India,Premam,2015,Comedy,8.3,600000000
USA,Tangled,2010,Animation,7.7,592461732
UK,Quantum of Solace,2008,Action,6.6,589580482
USA,Men in Black,1997,Action,7.3,589390539
USA,The Croods,2013,Animation,7.2,587204668
USA,The Hangover Part II,2011,Comedy,6.4,586764305
USA,Iron Man,2008,Action,7.9,585796247
USA,I Am Legend,2007,Action,7.2,585410052
USA,Ready Player One,2018,Action,7.5,582893671
China,Hong hai xing dong,2018,Action,6.7,579330426
USA,"Monsters, Inc.",2001,Animation,8,578981070
USA,Night at the Museum,2006,Adventure,6.4,574480841
USA,Fifty Shades of Grey,2015,Drama,4.1,569651467
USA,Kong: Skull Island,2017,Action,6.6,566652812
USA,The Smurfs,2011,Animation,5.4,563749323
New Zealand,King Kong,2005,Action,7.2,562363449
USA,Cars 2,2011,Animation,6.1,559852396
USA,Puss in Boots,2011,Animation,6.6,554987477
China,Mei ren yu,2016,Comedy,6.2,553810228
USA,Armageddon,1998,Action,6.7,553709788
USA,The Day After Tomorrow,2004,Action,6.4,552639571
India,Naanum Rowdydhaan,2015,Action,7.3,550000000
USA,Ted,2012,Comedy,6.9,549368315
USA,Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7,549265501
USA,American Sniper,2014,Action,7.3,547426372
USA,Mission: Impossible II,2000,Action,6.1,546388108
China,Tang ren jie tan an 2,2018,Action,6,544185156
USA,X-Men: Apocalypse,2016,Action,6.9,543934105
USA,Sherlock Holmes: A Game of Shadows,2011,Action,7.5,543848418
USA,Despicable Me,2010,Animation,7.6,543113985
USA,Cinderella,2015,Drama,6.9,542351353
USA,Madagascar,2005,Animation,6.9,542063846
USA,World War Z,2013,Action,7,540007876
USA,Brave,2012,Animation,7.1,538983207
USA,The Simpsons Movie,2007,Animation,7.3,536414270
USA,The Revenant,2015,Action,8,532950503
India,Shatamanam Bhavati,2017,Drama,7,530500000
USA,The Meg,2018,Action,5.6,530259473
USA,Ralph Breaks the Internet,2018,Animation,7.1,529323962
USA,Hotel Transylvania 3: Summer Vacation,2018,Animation,6.3,528583774
USA,The Boss Baby,2017,Animation,6.3,527965936
UK,Dunkirk,2017,Action,7.9,526949403
USA,Godzilla,2014,Action,6.4,524976069
USA,Sherlock Holmes,2009,Action,7.6,524028679
USA,Meet the Fockers,2004,Comedy,6.3,522657936
USA,How to Train Your Dragon: The Hidden World,2019,Animation,7.5,521800153
USA,WALL·E,2008,Animation,8.4,521311860
China,Kung Fu Panda 3,2016,Animation,7.1,521170825
USA,Terminator 2: Judgment Day,1991,Action,8.5,520884847
USA,Ant-Man,2015,Action,7.3,519311965
France,The Grinch,2018,Animation,6.3,511595957
India,Saamy,2003,Action,7.3,510000000
USA,Ghost,1990,Drama,7,505870681
USA,Aladdin,1992,Animation,8,504050219
India,Bhale Bhale Magadivoy,2015,Comedy,7.8,500500000
India,Mudhalvan,1999,Action,8.3,500000000
India,Unnaipol Oruvan,2009,Crime,8,500000000
India,Pandiya Naadu,2013,Action,7.2,500000000
USA,Rio 2,2014,Animation,6.3,498781117
USA,Troy,2004,Drama,7.2,497409852
USA,Toy Story 2,1999,Animation,7.9,497374776
USA,How to Train Your Dragon,2010,Animation,8.1,494878759
USA,Twister,1996,Action,6.4,494471524
USA,Oz the Great and Powerful,2013,Adventure,6.3,493311825
USA,Clash of the Titans,2010,Action,5.8,493214993
USA,Maleficent: Mistress of Evil,2019,Adventure,6.6,491730089
USA,War for the Planet of the Apes,2017,Action,7.4,490719763
USA,Shrek,2001,Animation,7.8,487769799
USA,Mr. & Mrs. Smith,2005,Action,6.5,487287646
USA,Angels & Demons,2009,Action,6.7,485930816
USA,Teenage Mutant Ninja Turtles,2014,Action,5.8,485004754
USA,Bruce Almighty,2003,Comedy,6.8,484592874
USA,Rio,2011,Animation,6.9,483866518
USA,Saving Private Ryan,1998,Drama,8.6,482349603
USA,Rise of the Planet of the Apes,2011,Action,7.6,481800873
USA,Home Alone,1990,Comedy,7.6,477063114
USA,Star Wars: Episode VI - Return of the Jedi,1983,Action,8.3,475347111
UK,Charlie and the Chocolate Factory,2005,Adventure,6.6,474968763
USA,Hotel Transylvania 2,2015,Animation,6.7,474800000
USA,Indiana Jones and the Last Crusade,1989,Action,8.2,474310887
USA,San Andreas,2015,Action,6.1,473990832
Canada,It Chapter Two,2019,Drama,6.5,473093228
USA,Jaws,1975,Adventure,8,471961371
USA,Wreck-It Ralph,2012,Animation,7.7,471222889
USA,The Hangover,2009,Comedy,7.7,469310836
USA,The Lego Movie,2014,Animation,7.7,468060692
China,Bumblebee,2018,Action,6.8,467989645
USA,Star Trek Into Darkness,2013,Action,7.7,467365246
USA,The Matrix,1999,Action,8.7,465718588
USA,Gladiator,2000,Action,8.5,465361176
USA,Pretty Woman,1990,Comedy,7,463407097
USA,Cars,2006,Animation,7.1,461991867
Canada,X-Men: The Last Stand,2006,Action,6.7,460435291
USA,National Treasure: Book of Secrets,2007,Action,6.5,459242249
France,Lucy,2014,Action,6.4,458863600
USA,Mission: Impossible,1996,Action,7.1,457731198
USA,300,2006,Action,7.6,456068181
USA,The Last Samurai,2003,Action,7.7,454627263
China,Wo bu shi yao shen,2018,Comedy,7.9,451183391
USA,Ocean's Eleven,2001,Crime,7.7,450717150
China,Wo He Wo De Zu Guo,2019,Drama,6.4,450064993
USA,Thor,2011,Action,7,449326618
USA,Pearl Harbor,2001,Action,6.2,449220945
USA,Tarzan,1999,Animation,7.3,448191819
USA,La La Land,2016,Comedy,8,446486384
USA,Men in Black II,2002,Action,6.2,445135288
USA,The Bourne Ultimatum,2007,Action,8,444100035
USA,The Mummy Returns,2001,Action,6.3,443280904
USA,Alvin and the Chipmunks: The Squeakquel,2009,Animation,4.5,443140005
UK,Les Misérables,2012,Drama,7.6,441809770
USA,The Exorcist,1973,Horror,8,441306145
USA,Mrs. Doubtfire,1993,Comedy,7,441286195
USA,Terminator Genisys,2015,Action,6.3,440603537
USA,Beauty and the Beast,1991,Animation,8,440118382
India,Padayappa,1999,Action,8.1,440000000
China,Warcraft,2016,Action,6.8,439048914
USA,A Star Is Born,2018,Drama,7.7,436188866
USA,The Greatest Showman,2017,Biography,7.6,435086403
USA,Terminator 3: Rise of the Machines,2003,Action,6.3,433371112
USA,Pokémon: Detective Pikachu,2019,Action,6.6,433005346
UK,Die Another Day,2002,Action,6.1,431971116
USA,The Secret Life of Pets 2,2019,Animation,6.5,430051293
USA,Cast Away,2000,Adventure,7.8,429632142
USA,Rampage,2018,Action,6.1,428028233
UK,The King's Speech,2010,Biography,8,427374317
USA,The Matrix Revolutions,2003,Action,6.8,427344064
France,Intouchables,2011,Biography,8.5,426588510
USA,Django Unchained,2012,Drama,8.4,425368238
USA,Bad Boys for Life,2020,Action,6.6,424617855
USA,Dances with Wolves,1990,Adventure,8,424208848
USA,The Chronicles of Narnia: Prince Caspian,2008,Action,6.5,419665568
USA,Sex and the City,2008,Comedy,5.6,418765321
China,Zhong guo ji zhang,2019,Action,6.1,416953262
India,Govindudu Andari Vaadele,2014,Action,5.6,416500000
USA,The Mummy,1999,Action,7,415933406
USA,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure,6.3,415686217
USA,Jason Bourne,2016,Action,6.6,415484914
USA,The Wolverine,2013,Action,6.7,414828246
UK,Kingsman: The Secret Service,2014,Action,7.7,414351546
USA,Night at the Museum: Battle of the Smithsonian,2009,Adventure,6,413106170
USA,Batman,1989,Action,7.5,411556825
USA,The Bodyguard,1992,Action,6.3,411006740
USA,Pacific Rim,2013,Action,6.9,411002906
UK,Kingsman: The Golden Circle,2017,Action,6.7,410902662
USA,The Mummy,2017,Action,5.4,409231607
USA,Ice Age: Collision Course,2016,Animation,5.7,408579038
USA,Twilight,2008,Drama,5.2,408430415
USA,Signs,2002,Drama,6.7,408247917
Canada,X2,2003,Action,7.4,407711549
USA,Alita: Battle Angel,2019,Action,7.3,404852543
USA,Toy Story,1995,Animation,8.3,404265438
USA,The Mummy: Tomb of the Dragon Emperor,2008,Action,5.2,403449830
USA,Prometheus,2012,Adventure,7,403354469
USA,Gone with the Wind,1939,Drama,8.1,402352579
India,Legend,2014,Action,6.3,400400000
USA,Tron,2010,Action,6.8,400062763
UK,Mamma Mia! Here We Go Again,2018,Comedy,6.6,399906661
USA,Mission: Impossible III,2006,Action,6.9,398479497
USA,Grease,1978,Musical,7.2,397217505
USA,Snow White and the Huntsman,2012,Action,6.1,396592829
USA,Solo: A Star Wars Story,2018,Action,6.9,392924807
USA,The Wolf of Wall Street,2013,Biography,8.2,392000694
USA,Superman Returns,2006,Action,6,391081192
USA,Robin Hood: Prince of Thieves,1991,Action,6.9,390493908
USA,Raiders of the Lost Ark,1981,Action,8.4,390133212
India,Business Man,2012,Action,7.1,390000000
USA,Independence Day: Resurgence,2016,Action,5.2,389681935
USA,Back to the Future,1985,Adventure,8.5,388774684
USA,Live Free or Die Hard,2007,Action,7.1,388156011
China,Zhuo yao ji,2015,Adventure,6.1,387053506
USA,Godzilla: King of the Monsters,2019,Action,6,386600138
USA,Home,2015,Animation,6.6,386041607
USA,Star Trek,2009,Action,7.9,385680446
USA,1917,2019,Drama,8.3,384857224
USA,Happy Feet,2006,Animation,6.4,384336108
USA,Cars 3,2017,Animation,6.7,383930656
USA,Ice Age,2002,Animation,7.5,383257136
USA,Fifty Shades Darker,2017,Drama,4.6,381545846
USA,Monsters vs. Aliens,2009,Animation,6.4,381509870
USA,Godzilla,1998,Action,5.4,379014294
USA,True Lies,1994,Action,7.2,378882411
UK,Slumdog Millionaire,2008,Drama,8,378410113
France,Taken 2,2012,Action,6.3,376141306
USA,G.I. Joe: Retaliation,2013,Action,5.8,375740705
USA,Spider-Man: Into the Spider-Verse,2018,Animation,8.4,375540831
Australia,Mad Max: Fury Road,2015,Action,8.1,375225175
USA,Shark Tale,2004,Animation,6,374583879
USA,Once Upon a Time... in Hollywood,2019,Comedy,7.6,374343626
USA,What Women Want,2000,Comedy,6.4,374111707
USA,The Adventures of Tintin,2011,Animation,7.3,373993951
USA,Batman Begins,2005,Action,8.2,373654966
USA,Penguins of Madagascar,2014,Animation,6.7,373515621
USA,X-Men Origins: Wolverine,2009,Action,6.6,373062864
UK,The Golden Compass,2007,Adventure,6.1,372234864
USA,Fifty Shades Freed,2018,Drama,4.5,371985018
USA,Hitch,2005,Comedy,6.6,371594210
USA,Terminator Salvation,2009,Action,6.5,371353001
USA,Captain America: The First Avenger,2011,Action,6.9,370569774
USA,Edge of Tomorrow,2014,Action,7.9,370541256
USA,There's Something About Mary,1998,Comedy,7.1,369884651
USA,Gone Girl,2014,Drama,8.1,369330363
USA,The Fugitive,1993,Action,7.8,368875760
USA,Jurassic Park III,2001,Action,5.9,368780809
Canada,My Big Fat Greek Wedding,2002,Comedy,6.5,368744044
China,Xi hong shi shou fu,2018,Comedy,6.1,366961907
USA,Die Hard: With a Vengeance,1995,Action,7.6,366236538
USA,Shazam!,2019,Action,7.1,365971656
USA,The Nun,2018,Horror,5.3,365551694
USA,Alvin and the Chipmunks,2007,Animation,5.2,365352546
USA,Home Alone 2: Lost in New York,1992,Adventure,6.8,365154932
UK,Notting Hill,1999,Comedy,7.1,363970211
USA,A Bug's Life,1998,Animation,7.2,363258859
UK,Night at the Museum: Secret of the Tomb,2014,Adventure,6.2,363204635
USA,Ocean's Twelve,2004,Crime,6.5,362744280
USA,Planet of the Apes,2001,Action,5.7,362211740
USA,The Hangover Part III,2013,Comedy,5.8,362000072
UK,The World Is Not Enough,1999,Action,6.4,361832400
China,Zhuo yao ji 2,2018,Adventure,5.3,361682618
USA,Fast & Furious,2009,Action,6.6,360364265
India,Paruthiveeran,2007,Action,8.2,360000000
USA,Noah,2014,Action,5.7,359200044
USA,The Karate Kid,2010,Action,6.2,359126022
Japan,Kimi no na wa.,2016,Animation,8.4,358922706
USA,Hotel Transylvania,2012,Animation,7.1,358375603
USA,Minority Report,2002,Action,7.6,358372926
USA,Top Gun,1986,Action,6.9,356830601
UK,The Legend of Tarzan,2016,Action,6.2,356700357
USA,American Beauty,1999,Drama,8.3,356296601
Japan,Sen to Chihiro no kamikakushi,2001,Animation,8.6,355467056
USA,Apollo 13,1995,Adventure,7.6,355237933
USA,Rain Man,1988,Drama,8,354825435
Australia,The Great Gatsby,2013,Drama,7.2,353641895
USA,Dumbo,2019,Adventure,6.3,353284621
USA,"I, Robot",2004,Action,7.1,353133898
USA,Basic Instinct,1992,Drama,7,352927224
Malta,Murder on the Orient Express,2017,Crime,6.5,352789811
USA,X: First Class,2011,Action,7.7,352616690
Finland,Angry Birds,2016,Animation,6.3,352333929
UK,GoldenEye,1995,Action,7.2,352194034
USA,Catch Me If You Can,2002,Biography,8.1,352114312
USA,Now You See Me,2013,Crime,7.3,351723989
USA,Hannibal,2001,Crime,6.8,351692268
USA,The Mask,1994,Action,6.9,351583407
USA,Peter Rabbit,2018,Adventure,6.6,351266433
