country,original_title,year,genre,votes,avg_vote
USA,Superman Returns,2006,Action,268239,6
USA,Robin Hood: Prince of Thieves,1991,Action,174948,6.9
USA,Raiders of the Lost Ark,1981,Action,865510,8.4
USA,Independence Day: Resurgence,2016,Action,163982,5.2
USA,Back to the Future,1985,Adventure,1027330,8.5
USA,Live Free or Die Hard,2007,Action,384059,7.1
China,Zhuo yao ji,2015,Adventure,4581,6.1
USA,Godzilla: King of the Monsters,2019,Action,125326,6
USA,Home,2015,Animation,90310,6.6
USA,Star Trek,2009,Action,571847,7.9
USA,1917,2019,Drama,362897,8.3
USA,Happy Feet,2006,Animation,166806,6.4
USA,Cars 3,2017,Animation,71587,6.7
USA,Ice Age,2002,Animation,431467,7.5
USA,Fifty Shades Darker,2017,Drama,89375,4.6
USA,Monsters vs. Aliens,2009,Animation,144198,6.4
USA,Godzilla,1998,Action,179769,5.4
USA,True Lies,1994,Action,232830,7.2
UK,Slumdog Millionaire,2008,Drama,786365,8
France,Taken 2,2012,Action,285515,6.3
USA,G.I. Joe: Retaliation,2013,Action,171306,5.8
USA,Spider-Man: Into the Spider-Verse,2018,Animation,335892,8.4
Australia,Mad Max: Fury Road,2015,Action,856553,8.1
USA,Shark Tale,2004,Animation,163930,6
USA,Once Upon a Time... in Hollywood,2019,Comedy,507214,7.6
USA,What Women Want,2000,Comedy,188711,6.4
USA,The Adventures of Tintin,2011,Animation,213212,7.3
USA,Batman Begins,2005,Action,1278075,8.2
USA,Penguins of Madagascar,2014,Animation,77379,6.7
USA,X-Men Origins: Wolverine,2009,Action,459736,6.6
UK,The Golden Compass,2007,Adventure,176725,6.1
USA,Fifty Shades Freed,2018,Drama,53182,4.5
USA,Hitch,2005,Comedy,291792,6.6
USA,Terminator Salvation,2009,Action,339181,6.5
USA,Captain America: The First Avenger,2011,Action,723473,6.9
USA,Edge of Tomorrow,2014,Action,586141,7.9
USA,There's Something About Mary,1998,Comedy,286414,7.1
USA,Gone Girl,2014,Drama,833485,8.1
USA,The Fugitive,1993,Action,262199,7.8
USA,Jurassic Park III,2001,Action,290954,5.9
Canada,My Big Fat Greek Wedding,2002,Comedy,118082,6.5
USA,Die Hard: With a Vengeance,1995,Action,357243,7.6
USA,Shazam!,2019,Action,240858,7.1
USA,The Nun,2018,Horror,112638,5.3
USA,Alvin and the Chipmunks,2007,Animation,74906,5.2
USA,Home Alone 2: Lost in New York,1992,Adventure,291374,6.8
UK,Notting Hill,1999,Comedy,265330,7.1
USA,A Bug's Life,1998,Animation,261431,7.2
UK,Night at the Museum: Secret of the Tomb,2014,Adventure,103272,6.2
USA,Ocean's Twelve,2004,Crime,351814,6.5
USA,Planet of the Apes,2001,Action,207951,5.7
USA,The Hangover Part III,2013,Comedy,288141,5.8
UK,The World Is Not Enough,1999,Action,185155,6.4
USA,Fast & Furious,2009,Action,257872,6.6
USA,Noah,2014,Action,240005,5.7
USA,The Karate Kid,2010,Action,157587,6.2
Japan,Kimi no na wa.,2016,Animation,178480,8.4
USA,Hotel Transylvania,2012,Animation,218566,7.1
USA,Minority Report,2002,Action,498830,7.6
USA,Top Gun,1986,Action,287577,6.9
UK,The Legend of Tarzan,2016,Action,160617,6.2
USA,American Beauty,1999,Drama,1049009,8.3
Japan,Sen to Chihiro no kamikakushi,2001,Animation,626693,8.6
USA,Apollo 13,1995,Adventure,262254,7.6
USA,Rain Man,1988,Drama,465105,8
Australia,The Great Gatsby,2013,Drama,466522,7.2
USA,Dumbo,2019,Adventure,62609,6.3
USA,"I, Robot",2004,Action,490975,7.1
USA,Basic Instinct,1992,Drama,170177,7
Malta,Murder on the Orient Express,2017,Crime,203262,6.5
USA,X: First Class,2011,Action,636920,7.7
Finland,Angry Birds,2016,Animation,78294,6.3
UK,GoldenEye,1995,Action,234604,7.2
USA,Catch Me If You Can,2002,Biography,800449,8.1
USA,Now You See Me,2013,Crime,585135,7.3
USA,Hannibal,2001,Crime,250009,6.8
USA,The Mask,1994,Action,338884,6.9
USA,Peter Rabbit,2018,Adventure,33945,6.6
USA,Speed,1994,Action,322275,7.2
USA,Dinosaur,2000,Animation,51947,6.5
USA,Mary Poppins Returns,2018,Comedy,73598,6.7
USA,Deep Impact,1998,Action,160722,6.2
USA,The Lorax,2012,Animation,96541,6.4
USA,The Maze Runner,2014,Action,408789,6.8
USA,The Smurfs 2,2013,Animation,36946,5.3
USA,National Treasure,2004,Action,299339,6.9
Hong Kong,Rush Hour 2,2001,Action,196580,6.6
USA,Trolls,2016,Animation,70238,6.5
China,xXx: Return of Xander Cage,2017,Action,83629,5.2
USA,Pocahontas,1995,Animation,165983,6.7
USA,How the Grinch Stole Christmas,2000,Comedy,198436,6.2
USA,Star Trek Beyond,2016,Action,223293,7.1
USA,Alvin and the Chipmunks: Chipwrecked,2011,Animation,30636,4.3
USA,Wanted,2008,Action,355095,6.7
USA,The Flintstones,1994,Comedy,74414,4.9
USA,A Quiet Place,2018,Drama,391417,7.5
USA,Enchanted,2007,Animation,173962,7
USA,Over the Hedge,2006,Animation,156530,6.7
USA,300: Rise of an Empire,2014,Action,276636,6.2
USA,Batman Forever,1995,Action,231670,5.4
USA,Prince of Persia: The Sands of Time,2010,Action,267921,6.6
USA,Back to the Future Part II,1989,Adventure,467662,7.8
USA,The Curious Case of Benjamin Button,2008,Drama,575714,7.8
USA,Journey 2: The Mysterious Island,2012,Action,90916,5.8
USA,The Rock,1996,Action,307112,7.4
USA,The Great Wall,2016,Action,121995,5.9
France,Now You See Me 2,2016,Action,240792,6.5
USA,Fantastic Four,2005,Action,307944,5.7
USA,Indiana Jones and the Temple of Doom,1984,Action,438049,7.6
UK,Tomorrow Never Dies,1997,Action,177999,6.5
USA,The Good Dinosaur,2015,Animation,99311,6.7
USA,22 Jump Street,2014,Action,339248,7
USA,Meet the Parents,2000,Comedy,306467,7
USA,Who Framed Roger Rabbit,1988,Animation,178487,7.7
USA,Black Swan,2010,Drama,686153,8
USA,The Perfect Storm,2000,Action,154003,6.4
Australia,'Crocodile' Dundee,1986,Action,91006,6.6
USA,Se7en,1995,Crime,1402015,8.6
USA,John Wick: Chapter 3 - Parabellum,2019,Action,258107,7.5
USA,The Devil Wears Prada,2006,Comedy,362466,6.9
France,Taken 3,2014,Action,175675,6
USA,The Hunchback of Notre Dame,1996,Animation,138360,6.9
USA,A Christmas Carol,2009,Animation,98606,6.8
USA,The SpongeBob Movie: Sponge Out of Water,2015,Animation,47499,6
USA,Wonder,2017,Drama,134456,8
USA,Schindler's List,1993,Biography,1183248,8.9
USA,Megamind,2010,Animation,222974,7.2
USA,Green Book,2018,Biography,341975,8.2
USA,Lethal Weapon 3,1992,Action,154580,6.7
USA,The Ugly Truth,2009,Comedy,200721,6.4
USA,Robin Hood,2010,Action,249741,6.6
Germany,Inglourious Basterds,2009,Adventure,1229958,8.3
USA,101 Dalmatians,1996,Adventure,99284,5.7
Canada,The Conjuring 2,2016,Horror,218066,7.3
USA,Fatal Attraction,1987,Drama,74368,6.9
USA,The Last Airbender,2010,Action,149673,4
USA,The Conjuring,2013,Horror,430412,7.5
USA,The Proposal,2009,Comedy,289455,6.7
USA,A Beautiful Mind,2001,Biography,827595,8.2
USA,Beverly Hills Cop,1984,Action,159496,7.3
USA,Air Force One,1997,Action,176882,6.5
USA,The Expendables 2,2012,Action,288369,6.6
USA,Chicken Little,2005,Animation,84176,5.7
USA,As Good as It Gets,1997,Comedy,270079,7.7
USA,The Polar Express,2004,Animation,168056,6.6
USA,Maze Runner: The Scorch Trials,2015,Action,216136,6.3
USA,Resident Evil: The Final Chapter,2016,Action,81889,5.5
USA,Austin Powers: The Spy Who Shagged Me,1999,Action,213536,6.6
USA,The Lego Batman Movie,2017,Animation,128222,7.3
USA,Ocean's Thirteen,2007,Action,315076,6.9
USA,Little Fockers,2010,Comedy,104817,5.5
USA,Bolt,2008,Animation,185896,6.8
USA,Ransom,1996,Action,116536,6.7
USA,Runaway Bride,1999,Comedy,91175,5.6
USA,Knives Out,2019,Comedy,377903,7.9
USA,The Blind Side,2009,Biography,286037,7.6
USA,The Fault in Our Stars,2014,Drama,337110,7.7
USA,The Pursuit of Happyness,2006,Biography,437433,8
USA,Rise of the Guardians,2012,Animation,153445,7.3
USA,Close Encounters of the Third Kind,1977,Drama,180386,7.6
USA,Chicago,2002,Comedy,212421,7.1
USA,Sonic the Hedgehog,2020,Action,74639,6.5
USA,Annabelle: Creation,2017,Horror,108128,6.5
Hong Kong,Skyscraper,2018,Action,102420,5.8
USA,A Good Day to Die Hard,2013,Action,195632,5.3
USA,Mulan,1998,Animation,244506,7.6
India,Dangal,2016,Action,147907,8.4
USA,Passengers,2016,Drama,340493,7
USA,Battleship,2012,Action,233458,5.8
USA,Liar Liar,1997,Comedy,276072,6.9
USA,G.I. Joe: The Rise of Cobra,2009,Action,196946,5.8
Spain,Wrath of the Titans,2012,Action,179356,5.7
USA,4: Rise of the Silver Surfer,2007,Action,247759,5.6
USA,Hook,1991,Adventure,229358,6.8
USA,Rocky IV,1985,Drama,182619,6.9
USA,Superman,1978,Action,156397,7.3
USA,Rambo: First Blood Part II,1985,Action,151441,6.5
Germany,Resident Evil: Afterlife,2010,Action,159831,5.8
USA,Van Helsing,2004,Action,240561,6.1
Germany,Stuart Little,1999,Adventure,123508,5.9
USA,Beverly Hills Cop II,1987,Action,104997,6.5
USA,Alice Through the Looking Glass,2016,Adventure,89612,6.2
USA,My Best Friend's Wedding,1997,Comedy,125963,6.3
USA,Real Steel,2011,Action,293214,7.1
USA,Horton Hears a Who!,2008,Animation,127433,6.8
USA,Ocean's Eight,2018,Action,177206,6.2
USA,Insurgent,2015,Action,212844,6.2
USA,Look Who's Talking,1989,Comedy,76037,5.9
USA,Austin Powers in Goldmember,2002,Action,192760,6.2
USA,Miss Peregrine's Home for Peculiar Children,2016,Adventure,151879,6.7
USA,Ghostbusters,1984,Action,347267,7.8
USA,X-Men,2000,Action,562022,7.4
USA,Ferdinand,2017,Animation,46400,6.7
USA,Shutter Island,2010,Mystery,1096024,8.2
USA,Doctor Dolittle,1998,Comedy,90193,5.4
USA,Bee Movie,2007,Animation,138462,6.1
USA,Salt,2010,Action,291354,6.4
