production_company,year,original_title
Annapurna Pictures,2016,2
Annapurna Pictures,2017,1
Annapurna Pictures,2018,4
Annapurna Pictures,2019,3
Annapurna Pictures,2020,1
Annapurna Productions,2010,1
Annapurna Productions,2011,1
Annenberg Feature Film Fellowship / Sundance Institute,2011,1
Annum Films,2014,1
Annum Films,2015,1
Annus Mirabilis Inc.,2010,1
Anonymous Content,2010,1
Anonymous Content,2012,1
Anonymous Content,2013,1
Anonymous Content,2014,2
Anonymous Content,2015,1
Anonymous Content,2016,2
Anonymous Content,2019,2
Another Harvest Moon,2010,1
Ansgar Media,2018,1
Anthem Films,2015,1
Anthem Films,2016,1
Anthem Productions,2015,1
Antic Pictures,2011,1
Antidote Films (I),2013,1
Anton Pictures,2012,1
Anvil Entertainment,2014,1
Anvil Entertainment,2017,1
Anxiety Productions,2012,1
Apartment Story,2018,1
Apartment Two,2014,1
Apatow Productions,2012,1
Apatow Productions,2017,1
Aperture Media Productions,2018,1
Appian Way,2016,1
Appian Way,2018,1
Appian Way,2019,1
Applied Art Productions,2016,1
Apropos Films,2010,1
Aqueous Entertainment,2010,1
Arad Productions,2013,1
Aramid Entertainment Fund,2015,1
Arcadia Creative,2012,1
Arcana Studio,2018,1
Arcani Pictures,2014,1
Arcanum Pictures,2013,1
Arcay Studios,2015,1
ArchAngel Films,2020,1
Archer Film Productions,2019,1
Archer Gray,2012,1
Archer Gray,2014,1
Archer Gray,2015,1
Archer Gray,2018,1
Archer Gray,2020,1
Archon Entertainment,2019,1
Archstone Pictures,2012,1
Archstone Pictures,2014,1
Archstone Pictures,2016,1
Archstone Pictures,2019,1
Archway Pictures,2019,1
Arcturus Entertainment,2015,1
Ardennes Group,2011,1
Argent Pictures,2019,1
Argenta Productions,2016,1
Argentum Entertainment,2016,1
Aria Relic Cinema,2013,1
ArieScope Pictures,2010,1
ArieScope Pictures,2011,1
ArieScope Pictures,2013,1
ArieScope Pictures,2014,1
ArieScope Pictures,2017,1
Aristar Entertainment,2012,2
Aristar Entertainment,2015,1
Aristar Entertainment,2019,2
Ariztical Entertainment,2011,2
Arjay Entertainment,2016,1
Armando Montelongo Productions,2015,1
Armian Pictures,2011,1
Armian Pictures,2014,1
Arminius Films,2019,1
Armory Films,2014,1
Armory Films,2017,1
Armory Films,2018,1
Armory Films,2019,1
Arramis Films,2011,1
Arramis Films,2017,1
Arrested Development Productions,2012,1
Arrow Productions,2018,1
Arrowstorm Entertainment,2011,1
Arrowstorm Entertainment,2012,1
Arrowstorm Entertainment,2013,4
Arrowstorm Entertainment,2014,3
Arrowstorm Entertainment,2015,1
Arrowstorm Entertainment,2016,4
Arrowstorm Entertainment,2017,1
Art Cine Productions,2014,1
Art Held Hostage,2013,1
Art Institute of the Inland Empire,2016,1
Art LA Productions,2018,1
Art Machine Productions,2012,1
ArtProd,2015,1
ArtProd,2017,1
Arthur Cohn Productions,2018,1
Arthur Olivier Productions,2012,1
Artifact 2613,2010,1
Artificial Person Productions,2016,1
Artigo Indie,2016,1
Artina Films,2013,1
Artist Vodka Films,2020,1
Artists First,2010,1
Artists First,2013,1
Artists First,2016,1
Artists First,2018,1
Artists Public Domain,2011,1
Artists Public Domain,2014,1
Artists Unlimited Films,2012,1
Artmedia,2014,1
Arts+Labor,2012,1
Arts+Labor,2013,2
Arts+Labor,2017,1
Artvamp,2011,1
Arwayne Productions,2015,1
Ascension Media,2013,1
Ascension Media,2018,1
Ascent Releasing,2020,1
Ash Films,2016,1
Ashmawey Films,2015,1
Ask Around Productions,2012,1
Aspen Entertainment Group,2011,1
Aspire Motion Pictures,2019,1
Aspire Productions,2015,1
Assemblage,2020,1
Assemblage of Nouns Productions,2017,1
Assemble Media,2017,1
Assembly Line,2012,1
Astaroth Productions,2017,1
Astromech Records,2015,1
Astute Films,2015,1
Astute Films,2018,1
Astute Films,2019,1
Asylum Entertainment,2014,1
At Risk Entertainment,2012,1
Ataraxia Entertainment,2018,1
Atelier 44,2020,1
Atlantic & Pacific Pictures,2013,1
Atlantic & Pacific Pictures,2014,1
Atlantic Pictures (II),2012,2
Atlantic Records,2019,1
Atlas 2 Productions,2012,1
Atlas 3 Productions,2014,1
Atlas Entertainment,2011,1
Atlas Entertainment,2016,1
Atlas Independent,2012,1
Atlas Independent,2015,1
Atlas Independent,2016,1
Atlas Industries,2020,1
Atlas Pictures (II),2017,1
Atlas Productions,2011,1
Atmosphere Entertainment MM,2018,1
Atomic Features,2016,1
Atomic Monster,2017,1
Atomic Monster,2018,1
Atomic Monster,2019,2
Atossa Film Produktion GmbH,2010,1
Attaboy Media Productions,2011,1
Attic Light Films,2012,1
Attic Underground Cinema,2017,1
"Au Pair, KS",2011,1
Auburn Moon Productions,2018,1
Audax Films,2014,1
Audax Films,2015,2
August Heart Entertainment,2013,1
August Heart Entertainment,2015,1
August Heart Entertainment,2017,1
Aumont Productions,2013,1
Aunt Kiki Productions,2012,1
Aurilia Arts Productions,2010,1
Authentic Management Productions,2011,1
Automatic Entertainment,2018,1
Automatic Entertainment,2020,1
Automatic Media,2013,1
Automatic Moving Co.,2019,1
Automatik Entertainment,2012,1
Automatik Entertainment,2014,1
Automatik Entertainment,2015,1
Automatik Entertainment,2018,3
Automatik Entertainment,2019,2
Autumn Bailey Entertainment,2012,1
Autumn Bailey Entertainment,2017,1
Autumn Bailey Entertainment,2018,1
Autumn Productions,2016,1
Autumn Productions,2017,1
Autumn Productions,2018,1
Autumnwood Media,2019,1
Avalanche Entertainment,2015,1
Avantmark Pictures,2010,1
Ave Fenix Pictures Studios,2014,1
Ave Fenix Pictures Studios,2016,1
Ave Fenix Pictures Studios,2017,1
Avenet Images Productions,2018,1
Avenue Pictures,2014,1
Avenue Red Cinema,2011,1
Avila Entertainment,2015,1
Avocado Media,2018,1
Awesomeness Films,2014,1
Awesomeness Films,2015,1
Awesomeness Films,2016,3
Awesomeness Films,2017,2
Awesomeness Films,2018,1
Awesomeness Films,2020,1
