country,original_title,year,genre,avg_vote,votes,budget,worlwide_gross_income
USA,Trading Places,1983,Comedy,7.5,131836,15000000.0,90404800.0
USA,Bring It On,2000,"Comedy, Romance, Sport",6.0,85738,11000000.0,90449929.0
"UK, USA, India, Canada, France, Belgium",Sherlock Gnomes,2018,"Animation, Adventure, Comedy",5.2,9816,59000000.0,90497778.0
"USA, Canada",My Big Fat Greek Wedding 2,2016,"Comedy, Romance",6.0,27751,18000000.0,90632641.0
USA,Anchorman: The Legend of Ron Burgundy,2004,Comedy,7.2,324712,26000000.0,90649730.0
USA,Galaxy Quest,1999,"Adventure, Comedy, Sci-Fi",7.3,146064,45000000.0,90683916.0
USA,Autumn in New York,2000,"Drama, Romance",5.7,24514,65000000.0,90726668.0
USA,Racing Stripes,2005,"Adventure, Comedy, Drama",5.2,15722,30000000.0,90754475.0
USA,Drag Me to Hell,2009,"Horror, Thriller",6.5,185177,30000000.0,90842646.0
USA,Fantasia 2000,1999,"Animation, Comedy, Family",7.2,34386,80000000.0,90874570.0
USA,Paranormal Activity: The Marked Ones,2014,"Horror, Mystery, Thriller",5.0,39197,5000000.0,90894962.0
"USA, Canada",Final Destination 2,2003,"Horror, Thriller",6.2,149294,26000000.0,90941129.0
USA,Romeo Must Die,2000,"Action, Crime, Thriller",6.1,66018,25000000.0,91036760.0
USA,The Karate Kid,1984,"Action, Drama, Family",7.2,171512,8000000.0,91119319.0
"UK, Canada, USA",White Noise,2005,"Drama, Horror, Mystery",5.5,46661,10000000.0,91196419.0
"USA, Mexico",Overboard,2018,"Comedy, Romance",6.0,33083,12000000.0,91244913.0
USA,Back to School,1986,"Comedy, Romance, Sport",6.7,27366,11000000.0,91258000.0
"USA, Hong Kong, France, Bulgaria, Spain, Sweden",Rambo: Last Blood,2019,"Action, Thriller",6.1,76064,50000000.0,91490353.0
USA,Friday the 13th,2009,"Horror, Mystery, Thriller",5.5,95041,19000000.0,91509154.0
USA,Five Feet Apart,2019,"Drama, Romance",7.2,38320,7000000.0,91522094.0
"USA, Serbia, Canada",Crawl,2019,"Action, Drama, Horror",6.2,61874,13500000.0,91542097.0
USA,Season of the Witch,2011,"Action, Adventure, Fantasy",5.4,89377,40000000.0,91627228.0
"China, Hong Kong, USA",Ying,2018,"Action, Adventure, Drama",7.0,11621,300000000.0,91708374.0
USA,Get Him to the Greek,2010,"Comedy, Music",6.4,168032,40000000.0,91720255.0
USA,Behind Enemy Lines,2001,"Action, Drama, Thriller",6.4,97575,40000000.0,91753202.0
USA,Apocalypse Now,1979,"Drama, Mystery, War",8.4,591251,31500000.0,91968688.0
"Hong Kong, USA",Southpaw,2015,"Action, Drama, Sport",7.4,213235,30000000.0,91970827.0
USA,"I Love You, Man",2009,"Comedy, Romance",7.0,191738,40000000.0,91980359.0
"USA, New Zealand",Underworld: Rise of the Lycans,2009,"Action, Fantasy, Thriller",6.6,148885,35000000.0,92158961.0
"Germany, Austria, Italy",Der Untergang,2004,"Biography, Drama, History",8.2,324686,13500000.0,92181574.0
USA,Four Brothers,2005,"Action, Crime, Drama",6.8,132163,45000000.0,92374674.0
USA,1941,1979,"Action, Comedy, War",5.8,30826,35000000.0,92455742.0
India,Sultan,2016,"Action, Drama, Sport",7.0,36612,13430000.0,92539463.0
USA,No Reservations,2007,"Comedy, Drama, Romance",6.3,69523,28000000.0,92601050.0
"Germany, USA",Role Models,2008,Comedy,6.8,217694,28000000.0,92649419.0
South Korea,Busanhaeng,2016,"Action, Horror, Thriller",7.6,151256,10000000000.0,92754562.0
"China, Hong Kong",Shi mian mai fu,2004,"Action, Adventure, Drama",7.5,106490,100000000.0,92863945.0
USA,The Family Stone,2005,"Comedy, Drama, Romance",6.3,59382,18000000.0,92884429.0
USA,Secret Window,2004,"Drama, Mystery, Thriller",6.6,178782,40000000.0,92913171.0
USA,Flashdance,1983,"Drama, Music, Romance",6.2,46644,4000000.0,92921203.0
USA,Deuce Bigalow: Male Gigolo,1999,"Comedy, Romance",5.7,69672,17000000.0,92938755.0
USA,Michael Clayton,2007,"Crime, Drama, Mystery",7.2,154215,25000000.0,92991835.0
USA,When Harry Met Sally...,1989,"Comedy, Drama, Romance",7.6,190677,16000000.0,93083444.0
USA,Mercury Rising,1998,"Action, Crime, Drama",6.2,67332,60000000.0,93107289.0
USA,Legal Eagles,1986,"Comedy, Crime, Romance",6.0,9867,40000000.0,93151591.0
"UK, France, USA",Nanny McPhee and the Big Bang,2010,"Comedy, Family, Fantasy",6.1,27434,35000000.0,93251121.0
USA,Money Monster,2016,"Crime, Drama, Thriller",6.5,92510,27000000.0,93282604.0
"USA, UK",Goosebumps 2: Haunted Halloween,2018,"Adventure, Comedy, Family",5.6,16490,35000000.0,93320380.0
"UK, USA",Calendar Girls,2003,"Comedy, Drama",6.9,22838,10000000.0,93400759.0
USA,BlacKkKlansman,2018,"Biography, Crime, Drama",7.5,207042,15000000.0,93400823.0
USA,The Internship,2013,Comedy,6.3,186939,58000000.0,93492844.0
"USA, UK, New Zealand",The Lovely Bones,2009,"Drama, Fantasy, Thriller",6.7,154536,65000000.0,93621340.0
USA,Forces of Nature,1999,"Comedy, Romance",5.4,31858,75000000.0,93900680.0
"USA, Australia, Spain",In the Heart of the Sea,2015,"Action, Adventure, Biography",6.9,119224,100000000.0,93920758.0
USA,Lady and the Tramp,1955,"Animation, Adventure, Comedy",7.3,119585,4000000.0,93933394.0
"USA, Australia, Germany",Speed Racer,2008,"Action, Adventure, Comedy",6.0,68003,120000000.0,93945766.0
"USA, United Arab Emirates",Syriana,2005,"Drama, Thriller",6.9,124449,50000000.0,93974620.0
"USA, Germany",The Skeleton Key,2005,"Drama, Horror, Mystery",6.5,104639,43000000.0,93983911.0
USA,Blockers,2018,Comedy,6.2,69041,21000000.0,94017294.0
USA,Ben-Hur,2016,"Action, Adventure, Drama",5.7,40859,100000000.0,94061311.0
"USA, UK",Dirty Grandpa,2016,Comedy,5.9,110705,25000000.0,94073028.0
USA,The River Wild,1994,"Adventure, Crime, Thriller",6.4,40560,45000000.0,94216343.0
"China, USA",I Feel Pretty,2018,"Comedy, Romance",5.5,47051,32000000.0,94539426.0
"Germany, USA",The Wedding Planner,2001,"Comedy, Romance",5.3,74640,35000000.0,94728529.0
USA,Changing Lanes,2002,"Drama, Thriller",6.4,66104,45000000.0,94935764.0
USA,The Guardian,2006,"Action, Adventure, Drama",6.9,86282,70000000.0,94973540.0
USA,The Hustle,2019,"Comedy, Crime",5.4,43949,21000000.0,95055451.0
USA,Cinderella,1950,"Animation, Family, Fantasy",7.3,142164,2900000.0,95126535.0
"USA, UK, France",40 Days and 40 Nights,2002,"Comedy, Romance",5.6,69669,17000000.0,95146283.0
USA,Truth or Dare,2018,"Horror, Thriller",5.2,45088,3500000.0,95330493.0
"USA, Germany, Canada, UK",The Mortal Instruments: City of Bones,2013,"Action, Adventure, Fantasy",5.9,126241,60000000.0,95396573.0
"USA, Canada",Poltergeist,2015,"Horror, Thriller",4.9,54188,35000000.0,95437994.0
USA,Arthur,1981,"Comedy, Romance",6.9,25455,7000000.0,95461682.0
USA,Shooter,2007,"Action, Drama, Thriller",7.2,305429,61000000.0,95696996.0
"USA, UK, Germany, Hungary",Underworld,2003,"Action, Fantasy, Thriller",7.0,249383,22000000.0,95708457.0
USA,My Sister's Keeper,2009,"Drama, Family",7.4,88220,30000000.0,95714875.0
USA,Be Cool,2005,"Comedy, Crime, Drama",5.6,66612,53000000.0,95763716.0
"Hong Kong, USA",TMNT,2007,"Animation, Action, Adventure",6.2,60617,34000000.0,95802916.0
"Ireland, UK, USA",The Favourite,2018,"Biography, Comedy, Drama",7.5,163857,15000000.0,95918706.0
