country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
USA,Jesse James,1939,Biography,7.0,3887,3444.0
USA,Blood and Bone,2009,Action,6.7,30815,3492.0
France,Notre jour viendra,2010,Drama,6.2,3736,3528.0
USA,Macao,1952,Adventure,6.7,2741,3530.0
USA,I'm Reed Fish,2006,Comedy,5.7,4184,3567.0
UK,Hyena,2014,Crime,6.1,2772,3586.0
USA,It Stains the Sands Red,2016,Drama,5.5,4276,3599.0
Germany,Die Mitte der Welt,2016,Drama,7.2,4658,3656.0
Netherlands,Der Stand der Dinge,1982,Drama,7.0,2823,3700.0
USA,Dumbo,1941,Animation,7.2,116855,3731.0
UK,Fever Pitch,1997,Comedy,6.7,10030,3736.0
USA,Nothing Sacred,1937,Comedy,6.9,5841,3765.0
Denmark,De grønne slagtere,2003,Comedy,7.3,19008,3783.0
Sweden,Ett hål i mitt hjärta,2004,Drama,4.5,4652,3784.0
France,Trafic,1971,Comedy,7.1,5690,3800.0
USA,The Man Who Killed Hitler and Then the Bigfoot,2018,Adventure,5.7,9564,3822.0
UK,Await Further Instructions,2018,Horror,4.8,6858,3823.0
USA,Crown Vic,2019,Action,6.4,3025,3868.0
India,Kammatti Paadam,2016,Action,8.1,3535,3891.0
USA,The Night of the Iguana,1964,Drama,7.6,10499,3942.0
West Germany,Der amerikanische Freund,1977,Crime,7.4,13462,3978.0
USA,I Am Michael,2015,Biography,5.6,4849,3995.0
Canada,Come and Find Me,2016,Thriller,5.7,7835,4052.0
USA,Freaks,1932,Drama,7.9,41173,4072.0
UK,Sebastiane,1976,Drama,6.1,2475,4091.0
UK,Frenzy,1972,Thriller,7.4,40353,4121.0
USA,The Miracle Worker,1962,Biography,8.1,15609,4139.0
USA,Pawn,2013,Action,5.7,6808,4141.0
USA,Bachelor Mother,1939,Comedy,7.6,3566,4149.0
USA,Melvin Goes to Dinner,2003,Comedy,6.8,2616,4168.0
USA,Maximum Ride,2016,Action,3.6,4119,4218.0
Italy,"Francesco, giullare di Dio",1950,Biography,7.4,3138,4223.0
USA,Reign of the Supermen,2019,Animation,6.8,10615,4223.0
USA,The Basement,2018,Horror,4.4,2431,4286.0
USA,The Man Who Laughs,1928,Drama,7.7,5711,4347.0
USA,"A Cool, Dry Place",1998,Drama,6.2,2831,4390.0
USA,The Truth About Emanuel,2013,Drama,6.0,8605,4404.0
Germany,Der blaue Engel,1930,Drama,7.7,13311,4410.0
India,Agent Sai Srinivasa Athreya,2019,Action,8.5,5585,4454.0
USA,Road House,1948,Action,7.3,2293,4467.0
Spain,Atrocious,2010,Horror,5.0,4735,4472.0
UK,Retreat,2011,Drama,5.8,10914,4498.0
USA,Synchronicity,2015,Drama,5.5,10085,4505.0
USA,Deliverance,1972,Adventure,7.7,96769,4534.0
Mexico,Ahí va el diablo,2012,Horror,5.6,3788,4534.0
UK,Blue Juice,1995,Comedy,5.3,2491,4535.0
Iran,Khane-ye doust kodjast?,1987,Drama,8.1,9947,4546.0
USA,All Is Bright,2013,Comedy,5.6,5660,4556.0
UK,A Taste of Honey,1961,Drama,7.5,4744,4597.0
USA,Johnny Guitar,1954,Drama,7.7,15198,4604.0
UK,Lolita,1962,Crime,7.6,90641,4631.0
India,Pudhu Pettai,2006,Action,8.5,4161,4652.0
USA,The Long Dumb Road,2018,Comedy,6.1,2339,4667.0
West Germany,Der Tiger von Eschnapur,1959,Adventure,6.7,2302,4673.0
West Germany,Das indische Grabmal,1959,Adventure,6.7,2109,4673.0
USA,Against the Sun,2014,Biography,6.5,5200,4698.0
USA,Colorado Territory,1949,Western,7.2,2287,4755.0
USA,Stretch,2014,Comedy,6.5,28501,4833.0
USA,The Unknown,1927,Drama,7.8,6992,4841.0
UK,The Dead,2010,Action,5.7,8712,4891.0
USA,Wild Style,1982,Drama,7.1,2328,4948.0
USA,Swing Time,1936,Comedy,7.6,11998,4961.0
USA,Elizabeth Harvest,2018,Horror,5.8,6228,4973.0
USA,Hellzapoppin',1941,Comedy,7.5,2685,4982.0
India,Aadukalam,2011,Action,8.1,4540,4997.0
Switzerland,Les choses de la vie,1970,Drama,7.6,3787,5063.0
USA,The Left Handed Gun,1958,Western,6.5,3743,5066.0
USA,My Dinner with Andre,1981,Biography,7.8,17709,5073.0
USA,Tanner Hall,2009,Drama,5.8,3299,5073.0
USA,Crimewave,1985,Comedy,5.7,5036,5101.0
USA,Body at Brighton Rock,2019,Horror,5.2,2272,5123.0
Denmark,Den eneste ene,1999,Comedy,6.9,4197,5129.0
Sweden,Till glädje,1950,Drama,7.2,2410,5135.0
India,Aakrosh,2010,Action,7.0,3245,5148.0
USA,Home Room,2002,Crime,7.2,3165,5216.0
USA,Deadline - U.S.A.,1952,Crime,7.2,2998,5228.0
Indonesia,Killers,2014,Action,6.4,4709,5248.0
USA,Paths of Glory,1957,Drama,8.4,172671,5252.0
Japan,Sanshô dayû,1954,Drama,8.4,14034,5267.0
South Korea,Maljukgeori janhoksa,2004,Action,7.4,2401,5271.0
UK,When the Wind Blows,1986,Animation,7.7,9633,5274.0
USA,Sunlight Jr.,2013,Drama,5.6,2909,5346.0
USA,Dragonwyck,1946,Drama,7.0,3653,5434.0
USA,The Man from Earth: Holocene,2017,Drama,5.3,7670,5472.0
UK,Caravaggio,1986,Biography,6.6,5170,5478.0
USA,The First $20 Million Is Always the Hardest,2002,Comedy,5.6,3019,5491.0
USA,White Heat,1949,Action,8.1,28955,5534.0
UK,Matriarch,2018,Horror,5.4,2896,5535.0
Italy,Morte a Venezia,1971,Drama,7.4,18303,5558.0
USA,Kid Cannabis,2014,Biography,6.4,9344,5565.0
