country,original_title,year,genre,avg_vote,worlwide_gross_income
UK,The World Is Not Enough,1999,Action,6.4,361832400.0
China,Zhuo yao ji 2,2018,Adventure,5.3,361682618.0
USA,Fast & Furious,2009,Action,6.6,360364265.0
India,Paruthiveeran,2007,Action,8.2,360000000.0
USA,Noah,2014,Action,5.7,359200044.0
USA,The Karate Kid,2010,Action,6.2,359126022.0
Japan,Kimi no na wa.,2016,Animation,8.4,358922706.0
USA,Hotel Transylvania,2012,Animation,7.1,358375603.0
USA,Minority Report,2002,Action,7.6,358372926.0
USA,Top Gun,1986,Action,6.9,356830601.0
UK,The Legend of Tarzan,2016,Action,6.2,356700357.0
USA,American Beauty,1999,Drama,8.3,356296601.0
Japan,Sen to Chihiro no kamikakushi,2001,Animation,8.6,355467056.0
USA,Apollo 13,1995,Adventure,7.6,355237933.0
USA,Rain Man,1988,Drama,8.0,354825435.0
Australia,The Great Gatsby,2013,Drama,7.2,353641895.0
USA,Dumbo,2019,Adventure,6.3,353284621.0
USA,"I, Robot",2004,Action,7.1,353133898.0
USA,Basic Instinct,1992,Drama,7.0,352927224.0
Malta,Murder on the Orient Express,2017,Crime,6.5,352789811.0
USA,X: First Class,2011,Action,7.7,352616690.0
Finland,Angry Birds,2016,Animation,6.3,352333929.0
UK,GoldenEye,1995,Action,7.2,352194034.0
USA,Catch Me If You Can,2002,Biography,8.1,352114312.0
USA,Now You See Me,2013,Crime,7.3,351723989.0
USA,Hannibal,2001,Crime,6.8,351692268.0
USA,The Mask,1994,Action,6.9,351583407.0
USA,Peter Rabbit,2018,Adventure,6.6,351266433.0
USA,Speed,1994,Action,7.2,350448145.0
India,Alai Payuthey,2000,Drama,8.3,350000000.0
USA,Dinosaur,2000,Animation,6.5,349822765.0
USA,Mary Poppins Returns,2018,Comedy,6.7,349545966.0
USA,Deep Impact,1998,Action,6.2,349464664.0
USA,The Lorax,2012,Animation,6.4,348840316.0
USA,The Maze Runner,2014,Action,6.8,348319861.0
USA,The Smurfs 2,2013,Animation,5.3,347545360.0
USA,National Treasure,2004,Action,6.9,347512318.0
Hong Kong,Rush Hour 2,2001,Action,6.6,347325802.0
USA,Trolls,2016,Animation,6.5,346864462.0
China,xXx: Return of Xander Cage,2017,Action,5.2,346118277.0
USA,Pocahontas,1995,Animation,6.7,346079773.0
USA,How the Grinch Stole Christmas,2000,Comedy,6.2,345141403.0
USA,Star Trek Beyond,2016,Action,7.1,343471816.0
USA,Alvin and the Chipmunks: Chipwrecked,2011,Animation,4.3,342695435.0
India,Aagadu,2014,Action,5.4,342500000.0
USA,Wanted,2008,Action,6.7,342463063.0
USA,The Flintstones,1994,Comedy,4.9,341631208.0
USA,A Quiet Place,2018,Drama,7.5,340949169.0
USA,Enchanted,2007,Animation,7.0,340487652.0
India,Pichaikkaran,2016,Action,7.6,340000000.0
USA,Over the Hedge,2006,Animation,6.7,339795890.0
