imdb_title_id,original_title,year,genre,country,production_company,duration,votes,budget,usa_gross_income,worldwide_gross_income,rating,metascore
tt0265666,Tenenbaums,2001,Drama,USA,Pictures,110,260939,21000000,52364010,71441250,7.6,76
tt0344510,fiançailles,2004,Romance,USA,Productions,133,70209,56600000,6524389,69424389,7.6,76
tt0079116,Alcatraz,1979,Crime,USA,Pictures,112,116958,8000000,43000000,43004381,7.6,76
tt0084649,NIMH,1982,Drama,USA,Aurora,82,35484,7000000,14665733,14665733,7.6,76
tt1951264,Fire,2013,Mystery,USA,Force,146,603034,130000000,424668047,865011746,7.5,76
tt3416532,Calls,2016,Family,USA,Participant,108,78648,43000000,3740823,47309313,7.5,76
tt0091217,Hoosiers,1986,Sport,USA,84,114,42163,6000000,28607524,28607524,7.5,76
tt0107554,Society,1993,Thriller,USA,Cinema,97,50507,3500000,27912072,27912072,7.5,76
tt0087800,Street,1984,Horror,USA,Cinema,91,200307,1800000,25504513,25504513,7.5,76
tt0134119,Ripley,1999,Thriller,USA,Miramax,139,178076,40000000,81298265,128798265,7.4,76
tt0090329,Witness,1985,Romance,USA,Pictures,112,84424,12000000,68706993,68706993,7.4,76
tt1935179,Mud,2012,Drama,USA,Lionsgate,130,164768,10000000,21590086,32613173,7.4,76
tt3521126,Artist,2017,Drama,USA,Universe,104,133498,10000000,21120616,29820616,7.4,76
tt0046183,Pan,1953,Family,USA,Productions,77,123085,4000000,87404651,87404651,7.3,76
tt0082979,Reds,1981,History,USA,Finance,195,20383,32000000,40382659,40382659,7.3,76
tt0119229,Blank,1997,Crime,USA,Pictures,107,86467,15000000,28084357,28084357,7.3,76
tt1179933,Lane,2016,Horror,USA,Pictures,103,283194,15000000,72082998,110216998,7.2,76
tt0082340,York,1981,Sci-Fi,USA,Pictures,99,122655,6000000,25244626,25244626,7.2,76
tt2305051,Wild,2014,Drama,USA,Industries,115,117835,15000000,37880356,52501541,7.1,76
tt1615147,Call,2011,Thriller,USA,Pictures,107,114272,3500000,5354039,19504039,7.1,76
tt0120321,Signals,1998,Drama,USA,Entertainment,89,9551,2000000,6745362,6745362,7.1,76
tt0090103,Thing,1985,Romance,USA,Pictures,100,18895,4500000,18135531,18135531,7,76
tt0280778,Iris,2001,Romance,USA,(BBC),91,16970,5500000,5594617,16153953,7,76
tt0935075,Hole,2010,Drama,USA,Pictures,91,46814,5000000,2229058,5144717,7,76
tt3881784,Stronger,2017,Drama,USA,Lionsgate,119,39072,30000000,4211129,8503658,6.9,76
tt0106673,Dave,1993,Romance,USA,Bros.,110,48156,28000000,63270710,63270710,6.8,76
tt0368008,Candidate,2004,Sci-Fi,USA,Pictures,129,102113,80000000,65955630,96105910,6.6,76
tt0443489,Dreamgirls,2006,Musical,USA,DreamWorks,130,67641,70000000,103365956,155430335,6.5,76
tt1571222,Method,2011,Romance,USA,(RPC),99,97398,15000000,5704709,30519436,6.4,76
tt0099800,Party,1990,Romance,USA,"Company,The",100,12835,2500000,26385627,26385627,6.4,76
tt0993846,Street,2013,Drama,USA,Pictures,180,1141549,100000000,116900694,392000694,8.2,75
tt0892769,Dragon,2010,Adventure,USA,Animation,98,651499,165000000,217581231,494878759,8.1,75
tt0092005,Me,1986,Drama,USA,Pictures,89,355780,8000000,52287414,52287414,8.1,75
tt0061184,Woolf?,1966,Drama,USA,Bros.,131,67817,7500000,28000000,28005068,8,75
tt3498820,War,2016,Sci-Fi,USA,Studios,147,644241,250000000,408084349,1153332120,7.8,75
tt0100157,Misery,1990,Thriller,USA,Entertainment,107,179295,20000000,61276872,61276872,7.8,75
tt0089853,Cairo,1985,Romance,USA,Productions,82,46146,15000000,10631333,10631333,7.7,75
tt0404203,Children,2006,Romance,USA,Cinema,137,104097,26000000,5463019,14821658,7.5,75
tt2294629,Frozen,2013,Comedy,USA,Studios,102,560595,150000000,400738009,1280803353,7.4,75
tt4555426,Hour,2017,History,USA,Features,125,165715,30000000,56468410,153129891,7.4,75
tt0124315,Rules,1999,Romance,USA,FilmColony,126,91826,24000000,57545092,88545092,7.4,75
tt0077745,Snatchers,1978,Sci-Fi,USA,Solofilm,115,50992,3500000,24946533,24946533,7.4,75
tt0298148,2,2004,Comedy,USA,DreamWorks,93,410089,150000000,441226247,928760770,7.2,75
tt0119164,Monty,1997,Drama,USA,Films,91,97312,3500000,45950122,257938649,7.2,75
tt1192628,Rango,2011,Comedy,USA,Pictures,107,231174,135000000,123477607,245724603,7.2,75
tt0096969,July,1989,War,USA,Ixtlan,145,96505,14000000,70001698,161001698,7.2,75
tt3385524,Ollie,2018,Drama,USA,One,98,30317,10000000,5470235,24420923,7.2,75
tt0091474,Manhunter,1986,Mystery,USA,(DEG),120,64207,15000000,8620929,8620929,7.2,75
tt1204342,Muppets,2011,Family,USA,Pictures,120,86116,45000000,88631237,165184237,7.1,75
tt2053463,Effects,2013,Mystery,USA,Entertainment,106,177680,30000000,32172757,63414135,7.1,75
tt0097027,War,1989,War,USA,Productions,113,40250,22500000,18671317,18671317,7.1,75
tt0461770,Enchanted,2007,Family,USA,Pictures,107,173962,85000000,127807262,340487652,7,75
tt0084434,Gentleman,1982,Romance,USA,Entertainment,124,48093,7500000,129795554,129795554,7,75
tt0473308,Waitress,2007,Romance,USA,Pictures,108,43179,1500000,19074800,22240529,7,75
tt0363771,Wardrobe,2005,Fantasy,USA,Pictures,143,358834,180000000,291710957,745013115,6.9,75
tt0091445,Lucas,1986,Romance,USA,Productions,100,14356,6000000,8200000,8200000,6.9,75
tt1478338,Bridesmaids,2011,Romance,USA,Pictures,125,263044,32500000,169106725,288383523,6.8,75
tt0086200,Business,1983,Drama,USA,Company,99,79137,6200000,63541777,63541777,6.8,75
tt0118798,Bulworth,1998,Romance,USA,Fox,108,24434,30000000,26528185,29202884,6.8,75
tt1704573,Bernie,2011,Crime,USA,Vision,99,56279,5000000,9206470,10173061,6.8,75
tt0075222,Movie,1976,Comedy,USA,Productions,87,15742,4400000,36145695,36145695,6.7,75
tt0420087,Companion,2006,Music,USA,Picturehouse,105,21686,10000000,20342852,25986497,6.7,75
tt5109784,Mother!,2017,Mystery,USA,Pictures,121,184669,30000000,17800004,44516999,6.6,75
tt0206314,Ride,2001,Thriller,USA,Enterprises,97,62993,23000000,21974919,36642838,6.6,75
tt0094155,Men,1987,Drama,USA,Films,112,7742,11000000,25411386,25411386,6.6,75
tt1979320,Rush,2013,Drama,USA,Group,123,422909,38000000,26947624,96983009,8.1,74
tt0114746,Monkeys,1995,Thriller,USA,Pictures,129,568702,29000001,57141459,168839459,8,74
tt0401792,City,2005,Thriller,USA,Films,124,733158,40000000,74103820,158733820,8,74
tt3501632,Ragnarok,2017,Comedy,USA,Pictures,130,564511,180000000,315058289,853979142,7.9,74
tt0099487,Scissorhands,1990,Romance,USA,Fox,105,437293,20000000,56362352,86024005,7.9,74
tt2245084,6,2014,Adventure,USA,Studios,102,400882,165000000,222527828,657868146,7.8,74
